row_label_raw,row_label_full,col_0,2020VND,2019VND,numeric__2020VND,numeric__2019VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,1.409.580.992.044,5.647.771.555.645,1409580992044.0,5647771555645.0
Thuế tính theo thuế suất của Công ty mẹ,Thuế tính theo thuế suất của Công ty mẹ,Thuế tính theo thuế suất của Công ty mẹ,281.916.198.409,1.129.554.311.129,281916198409.0,1129554311129.0
Ảnh hưởng của mức thuế suất khác áp dụng đối với các công ty con,Ảnh hưởng của mức thuế suất khác áp dụng đối với các công ty con,Ảnh hưởng của mức thuế suất khác áp dụng đối với các công ty con,(30.585.785.468),(21.313.666.371),-30585785468.0,-21313666371.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,15.829.060.179,15.041.048.463,15829060179.0,15041048463.0
Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,(121.596.393.709),(132.112.115.321),-121596393709.0,-132112115321.0
Biến động chênh lệch tạm thời được khấu trừ chưa được ghi nhận,Biến động chênh lệch tạm thời được khấu trừ chưa được ghi nhận,Biến động chênh lệch tạm thời được khấu trừ chưa được ghi nhận,29.869.317.833,(6.558.536.285),29869317833.0,-6558536285.0
Dự phòng thiếu/(thừa) trong những năm trước,Dự phòng thiếu/(thừa) trong những năm trước,Dự phòng thiếu/(thừa) trong những năm trước,1.574.613.624,(837.427.132),1574613624.0,-837427132.0
Lỗ tính thuế được sử dụng mà trước đây chưa ghi nhận tài sản thuế thu nhập hoãn lại,Lỗ tính thuế được sử dụng mà trước đây chưa ghi nhận tài sản thuế thu nhập hoãn lại,Lỗ tính thuế được sử dụng mà trước đây chưa ghi nhận tài sản thuế thu nhập hoãn lại,(7.585.785.544),(7.632.791.089),-7585785544.0,-7632791089.0
Uu đãi thuế,Uu đãi thuế,Uu đãi thuế,(12.412.441.612),(7.093.465.200),-12412441612.0,-7093465200.0
Biến động khác,Biến động khác,Biến động khác,-,2.162.438.529,,2162438529.0
,,,157.008.783.712,971.209.796.723,157008783712.0,971209796723.0
