row_label_raw,row_label_full,a. Đầu tư nằm giữ đến ngày được hạn,31/12/2015 > Già gốc YND > a. Đầu tư nằm giữ đến ngày được hạn,31/12/2015 > Dự phòng YND > a. Đầu tư nằm giữ đến ngày được hạn,31/12/2015 > Giá trị hợp lý YND > a. Đầu tư nằm giữ đến ngày được hạn,31/12/2014 > Già gốc YND > a. Đầu tư nằm giữ đến ngày được hạn,31/12/2014 > Dự phòng YND > a. Đầu tư nằm giữ đến ngày được hạn,31/12/2014 > Giá trị hợp lý YND > a. Đầu tư nằm giữ đến ngày được hạn,numeric__31/12/2015 > Già gốc YND > a. Đầu tư nằm giữ đến ngày được hạn,numeric__31/12/2015 > Dự phòng YND > a. Đầu tư nằm giữ đến ngày được hạn,numeric__31/12/2015 > Giá trị hợp lý YND > a. Đầu tư nằm giữ đến ngày được hạn,numeric__31/12/2014 > Già gốc YND > a. Đầu tư nằm giữ đến ngày được hạn,numeric__31/12/2014 > Dự phòng YND > a. Đầu tư nằm giữ đến ngày được hạn,numeric__31/12/2014 > Giá trị hợp lý YND > a. Đầu tư nằm giữ đến ngày được hạn
- Título gửi có kỳ hạn,- Título gửi có kỳ hạn,- Título gửi có kỳ hạn,65.000.000,-,65.000.000,65.000.000,-,65.000.000,65000000.0,,65000000.0,65000000.0,,65000000.0
b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,,,,,,
- Đầu tư vào công ty con,b. Đầu tư góp vốn vào đơn vị khác > - Đầu tư vào công ty con,- Đầu tư vào công ty con,20.000.000.000,-,20.000.000.000,20.000.000.000,-,20.000.000.000,20000000000.0,,20000000000.0,20000000000.0,,20000000000.0
Cộng ty TNHH MTV spin trung CAO,b. Đầu tư góp vốn vào đơn vị khác > Cộng ty TNHH MTV spin trung CAO,Cộng ty TNHH MTV spin trung CAO,10.000.000.000,-,10.000.000.000,10.000.000.000,-,10.000.000.000,10000000000.0,,10000000000.0,10000000000.0,,10000000000.0
Cộng ty TNHH MTV Gásn dích PNJ,b. Đầu tư góp vốn vào đơn vị khác > Cộng ty TNHH MTV Gásn dích PNJ,Cộng ty TNHH MTV Gásn dích PNJ,10.000.000.000,-,10.000.000.000,10.000.000.000,-,10.000.000.000,10000000000.0,,10000000000.0,10000000000.0,,10000000000.0
- Đầu tư vào công ty liên kết,b. Đầu tư góp vốn vào đơn vị khác > - Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,91.866.300.000,(30.473.664.463),61.392.635.537,91.866.300.000,(30.473.664.463),61.392.635.537,91866300000.0,-30473664463.0,61392635537.0,91866300000.0,-30473664463.0,61392635537.0
Cộng ty Cả phần Địa de Đông A,b. Đầu tư góp vốn vào đơn vị khác > Cộng ty Cả phần Địa de Đông A,Cộng ty Cả phần Địa de Đông A,91.866.300.000,(30.473.664.463),61.392.635.537,91.866.300.000,(30.473.664.463),61.392.635.537,91866300000.0,-30473664463.0,61392635537.0,91866300000.0,-30473664463.0,61392635537.0
- Đầu tư vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác > - Đầu tư vào đơn vị khác,- Đầu tư vào đơn vị khác,395.271.613.400,(310.579.863.400),84.691.750.000,460.651.988.400,(10.309.113.400),450.342.875.000,395271613400.0,-310579863400.0,84691750000.0,460651988400.0,-10309113400.0,450342875000.0
"Ngắn không Thương mại Cả phần Đông A (""DAB"") (*)","b. Đầu tư góp vốn vào đơn vị khác > Ngắn không Thương mại Cả phần Đông A (""DAB"") (*)","Ngắn không Thương mại Cả phần Đông A (""DAB"") (*)",395.271.613.400,(310.579.863.400),84.691.750.000,395.271.613.400,(10.309.113.400),384.962.500.000,395271613400.0,-310579863400.0,84691750000.0,395271613400.0,-10309113400.0,384962500000.0
Cộng ty Cả phần Bầu động sản Sù Gôn M&C,b. Đầu tư góp vốn vào đơn vị khác > Cộng ty Cả phần Bầu động sản Sù Gôn M&C,Cộng ty Cả phần Bầu động sản Sù Gôn M&C,-,-,-,65.380.375.000,-,65.380.375.000,,,,65380375000.0,,65380375000.0
,,,507.202.913.400,(341.053.527.863),166.149.385.537,572.583.288.400,(40.782.777.863),531.800.510.537,507202913400.0,-341053527863.0,166149385537.0,572583288400.0,-40782777863.0,531800510537.0
