row_label_raw,row_label_full,NGUON VON,Ma 56thuyetminh,56 cuot1 nam,56 dau nam,col_4,numeric__Ma 56thuyetminh,numeric__56 cuot1 nam,numeric__56 dau nam,numeric__col_4
C. NÓ PHAI TRA,C. NÓ PHAI TRA,C. NÓ PHAI TRA,300,"19,430,048,338,817","25,848,977,719,960",,300.0,,,
I. NÓ NÓGHAN,I. NÓ NÓGHAN,I. NÓ NÓGHAN,310,"7,685,905,96,555","10,047,485,270,669",,310.0,,,
2. NÓGUTI MAU TRA TEH TRUCO NAGH HAN,2. NÓGUTI MAU TRA TEH TRUCO NAGH HAN,2. NÓGUTI MAU TRA TEH TRUCO NAGH HAN,312,"2,161,915,000","2,161,915,000",,312.0,,,
3. THUJE VA CEC KHOKAN PHBIH NÓP NHJA NUDC,3. THUJE VA CEC KHOKAN PHBIH NÓP NHJA NUDC,3. THUJE VA CEC KHOKAN PHBIH NÓP NHJA NUDC,313,17,"10,525,011,064","46,565,911,483",313.0,17.0,,
4. PHAIJ RA NGUTI ILO DONG,4. PHAIJ RA NGUTI ILO DONG,4. PHAIJ RA NGUTI ILO DONG,314,"139,773,602,545","149,206,349,628",,314.0,,,
5. CHI PHI PHAI JRA NIGAN HAN,5. CHI PHI PHAI JRA NIGAN HAN,5. CHI PHI PHAI JRA NIGAN HAN,315,18,"376,851,943,424","1,537,280,673,637",315.0,18.0,,
6. PHAIJ TRA NGUTI HAN KHEC,6. PHAIJ TRA NGUTI HAN KHEC,6. PHAIJ TRA NGUTI HAN KHEC,319,19,"294,798,324,090","602,866,044,347",319.0,19.0,,
7. YAY VA NDYUE TAI CHINH NGUN HAN,7. YAY VA NDYUE TAI CHINH NGUN HAN,7. YAY VA NDYUE TAI CHINH NGUN HAN,320,20,"4,056,955,004,030","4,066,195,798,506",320.0,20.0,,
8. DY PHONG PHBIJ TRA NGUN HAN,8. DY PHONG PHBIJ TRA NGUN HAN,8. DY PHONG PHBIJ TRA NGUN HAN,321,21,"482,491,758,359","913,550,960,707",321.0,21.0,,
"9. QUY KHEN THUING, PHUC JÓT","9. QUY KHEN THUING, PHUC JÓT","9. QUY KHEN THUING, PHUC JÓT",322,"151,461,154,584","122,990,787,867",,322.0,,,
II. NÓ DALHAN,II. NÓ DALHAN,II. NÓ DALHAN,330,"11,744,142,742,262","15,801,492,449,291",,330.0,,,
1. PHAIJ TRA DAL HAN KHEC,1. PHAIJ TRA DAL HAN KHEC,1. PHAIJ TRA DAL HAN KHEC,337,"18,500,000","18,500,000",,337.0,,,
2. YAY VA NDYUE TAI CHINH DAL HAN,2. YAY VA NDYUE TAI CHINH DAL HAN,2. YAY VA NDYUE TAI CHINH DAL HAN,338,20,"11,604,831,296,359","15,693,211,765,099",338.0,20.0,,
3. DY PHONG PHAI JRA DAL HAN,3. DY PHONG PHAI JRA DAL HAN,3. DY PHONG PHAI JRA DAL HAN,342,21,"10,559,789,095","29,438,963,899",342.0,21.0,,
4. QUY PHAI JRA TREN KHOA HOCA VACONG NGHE,4. QUY PHAI JRA TREN KHOA HOCA VACONG NGHE,4. QUY PHAI JRA TREN KHOA HOCA VACONG NGHE,343,22,"128,733,156,808","78,823,220,293",343.0,22.0,,
D. VON CHU SO HNU,D. VON CHU SO HNU,D. VON CHU SO HNU,400,"23,357,738,288,377","22,740,605,664,345",,400.0,,,
I. VON CHU SI HLU,I. VON CHU SI HLU,I. VON CHU SI HLU,410,23,"23,357,738,288,377","22,740,605,664,345",410.0,23.0,,
2. QUY DAU TRA PHAT JHEN,2. QUY DAU TRA PHAT JHEN,2. QUY DAU TRA PHAT JHEN,418,"1,519,447,539,642","939,681,597,816",,418.0,,,
3. LÓT NHUNAN SAU THUJE CHINA PHAN PHBI,3. LÓT NHUNAN SAU THUJE CHINA PHAN PHBI,3. LÓT NHUNAN SAU THUJE CHINA PHAN PHBI,421,"63,989,171,059","26,412,488,853",,421.0,,,
IUY KE DEH CUDI NAM TRUC,IUY KE DEH CUDI NAM TRUC,IUY KE DEH CUDI NAM TRUC,4213,"26,412,488,853",-,,4213.0,,,
- LÓT NHUNAN SAU THUJE CHINA PHAN PHBI,- LÓT NHUNAN SAU THUJE CHINA PHAN PHBI,- LÓT NHUNAN SAU THUJE CHINA PHAN PHBI,4214,"26,412,488,853",-,,4214.0,,,
IUY KE DEH CUDI NAM TRUC,IUY KE DEH CUDI NAM TRUC,IUY KE DEH CUDI NAM TRUC,4215,"37,576,682,206","26,412,488,853",,4215.0,,,
- LÓT NHUNAN SAU THUJE CHINA PHAN PHBI NAM NAY,- LÓT NHUNAN SAU THUJE CHINA PHAN PHBI NAM NAY,- LÓT NHUNAN SAU THUJE CHINA PHAN PHBI NAM NAY,4216,"37,576,682,206","26,412,488,853",,4216.0,,,
TONG COUNG NGUON VGN (440=300+400),TONG COUNG NGUON VGN (440=300+400),TONG COUNG NGUON VGN (440=300+400),440,"42,787,786,627,194","48,589,583,384,305",,440.0,,,
