row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,27,24.378.145.913.873,22.894.712.009.035,1.0,27.0,24378145913873.0,22894712009035.0
2. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),2. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),2. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,,24.378.145.913.873,22.894.712.009.035,10.0,,24378145913873.0,22894712009035.0
3. Giá vốn hàng bán và dịch vụ cung cấp,3. Giá vốn hàng bán và dịch vụ cung cấp,3. Giá vốn hàng bán và dịch vụ cung cấp,11,28,22.153.330.423.400,21.607.059.926.040,11.0,28.0,22153330423400.0,21607059926040.0
4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,2.224.815.490.473,1.287.652.082.995,20.0,,2224815490473.0,1287652082995.0
5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,21,30,1.367.315.819.835,749.402.011.662,21.0,30.0,1367315819835.0,749402011662.0
6. Chi phí tài chính,6. Chi phí tài chính,6. Chi phí tài chính,22,31,839.266.392.032,472.200.953.405,22.0,31.0,839266392032.0,472200953405.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,473.265.452.098,240.041.617.242,23.0,,473265452098.0,240041617242.0
7. Chi phí quản lý doanh nghiệp,7. Chi phí quản lý doanh nghiệp,7. Chi phí quản lý doanh nghiệp,26,32,1.017.596.939.931,664.206.170.393,26.0,32.0,1017596939931.0,664206170393.0
8. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-26),8. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-26),8. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-26),30,,1.735.267.978.345,900.646.970.859,30.0,,1735267978345.0,900646970859.0
9. Thu nhập khác,9. Thu nhập khác,9. Thu nhập khác,31,33,14.776.096.137,1.125.223.803.023,31.0,33.0,14776096137.0,1125223803023.0
10. Chi phí khác,10. Chi phí khác,10. Chi phí khác,32,33,17.147.430.566,695.985.585.873,32.0,33.0,17147430566.0,695985585873.0
11. (Lỗ)/lợi nhuận khác (40=31-32),11. (Lỗ)/lợi nhuận khác (40=31-32),11. (Lỗ)/lợi nhuận khác (40=31-32),40,33,(2.371.334.429),429.238.217.150,40.0,33.0,-2371334429.0,429238217150.0
12. Tổng lợi nhuận kế toán trước thuế (50=30+40),12. Tổng lợi nhuận kế toán trước thuế (50=30+40),12. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.732.896.643.916,1.329.885.188.009,50.0,,1732896643916.0,1329885188009.0
13. Chi phí thuế thu nhập doanh nghiệp hiện hành,13. Chi phí thuế thu nhập doanh nghiệp hiện hành,13. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,34,53.428.226.605,122.712.511.618,51.0,34.0,53428226605.0,122712511618.0
14. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,14. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,14. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,34,(4.521.990.617),-,52.0,34.0,-4521990617.0,
15. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),15. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),15. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.683.990.407.928,1.207.172.676.391,60.0,,1683990407928.0,1207172676391.0
