row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2023 > VND,Năm 2022 > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2023 > VND,numeric__Năm 2022 > VND
,,,I. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,01,01,1. Lợi nhuận trước thuế,,167.318.748.431,382.734.553.174,,,167318748431.0,382734553174.0
01,01,01,2. Điều chỉnh cho các khoản,,,,,,,
02,01 > 02,02,- Khấu hao tài sản cố định và bất động sản đầu tư,,99.551.538.621,110.129.893.378,,,99551538621.0,110129893378.0
03,01 > 03,03,- Các khoản dự phòng,,122.661.903.172,29.194.602.824,,,122661903172.0,29194602824.0
04,01 > 04,04,"- Lãi, lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,528.336.400,(1.548.345.841),,,528336400.0,-1548345841.0
05,01 > 05,05,- Lỗ từ hoạt động đầu tư,,(127.629.657.932),(201.580.103.229),,,-127629657932.0,-201580103229.0
06,01 > 06,06,- Chi phí lãi vay,,10.862.555.725,16.947.552.195,,,10862555725.0,16947552195.0
08,01 > 08,08,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,273.293.424.417,335.878.152.501,,,273293424417.0,335878152501.0
09,01 > 09,09,- Biến động các khoản phải thu,,(563.329.782.177),52.876.083.538,,,-563329782177.0,52876083538.0
10,01 > 10,10,- Biến động hàng tồn kho,,49.021.289.197,86.894.883.858,,,49021289197.0,86894883858.0
11,01 > 11,11,"- Biến động các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,166.975.653.740,(171.061.252.902),,,166975653740.0,-171061252902.0
12,01 > 12,12,- Biến động chi phí trả trước,,18.695.186.205,23.951.742.810,,,18695186205.0,23951742810.0
14,01 > 14,14,- Tiền lãi vay đã trả,,(10.953.222.951),(16.890.985.927),,,-10953222951.0,-16890985927.0
15,01 > 15,15,- Thuế thu nhập doanh nghiệp đã nộp,,(48.243.780.810),(30.661.249.177),,,-48243780810.0,-30661249177.0
17,01 > 17,17,- Tiền chi khác cho hoạt động kinh doanh,,(6.981.824.669),(3.143.044.269),,,-6981824669.0,-3143044269.0
20,01 > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,(121.523.057.048),277.844.330.432,,,-121523057048.0,277844330432.0
,,,II. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
21,01 > 21,21,"1. Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",,(46.134.324.074),(56.578.226.616),,,-46134324074.0,-56578226616.0
22,01 > 22,22,"2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",,841.045.753,519.939.480,,,841045753.0,519939480.0
23,01 > 23,23,"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(264.022.154),(248.900.000.000),,,-264022154.0,-248900000000.0
24,01 > 24,24,"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,351.216.000.000,6.038.135.921,,,351216000000.0,6038135921.0
27,01 > 27,27,"5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,119.272.486.961,171.181.034.000,,,119272486961.0,171181034000.0
28,01 > 28,28,Lưu chuyển tiền thuần từ hoạt động đầu tư,,424.931.186.486,(127.739.117.215),,,424931186486.0,-127739117215.0
