row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,
Tổng Công ty Khí Việt Nam và các công ty cùng tập đoàn,Phải trả người bán ngắn hạn > Tổng Công ty Khí Việt Nam và các công ty cùng tập đoàn,Tổng Công ty Khí Việt Nam và các công ty cùng tập đoàn,4.056.166.474,43.681.426.439,4056166474.0,43681426439.0
Tổng Công ty Đầu Việt Nam và các công ty cùng tập đoàn,Phải trả người bán ngắn hạn > Tổng Công ty Đầu Việt Nam và các công ty cùng tập đoàn,Tổng Công ty Đầu Việt Nam và các công ty cùng tập đoàn,34.034.609.507,18.854.206.430,34034609507.0,18854206430.0
Công ty Cổ phần Lộc hóa dầu Bình Sơn và các công ty con,Phải trả người bán ngắn hạn > Công ty Cổ phần Lộc hóa dầu Bình Sơn và các công ty con,Công ty Cổ phần Lộc hóa dầu Bình Sơn và các công ty con,8.655.441.054,17.843.125.789,8655441054.0,17843125789.0
Liên Doanh Việt Nga - Vietsovpetro,Phải trả người bán ngắn hạn > Liên Doanh Việt Nga - Vietsovpetro,Liên Doanh Việt Nga - Vietsovpetro,11.193.727.149,12.635.571.000,11193727149.0,12635571000.0
Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,Phải trả người bán ngắn hạn > Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,10.833.036.612,10.833.036.612,10833036612.0,10833036612.0
Công ty Liên doanh Điều hành Cửu Long,Phải trả người bán ngắn hạn > Công ty Liên doanh Điều hành Cửu Long,Công ty Liên doanh Điều hành Cửu Long,5.616.864.000,7.627.840.000,5616864000.0,7627840000.0
Tổng Công ty cố phần Khoan và Dịch vụ khoan Dầu khí và các công ty cùng tập đoàn,Phải trả người bán ngắn hạn > Tổng Công ty cố phần Khoan và Dịch vụ khoan Dầu khí và các công ty cùng tập đoàn,Tổng Công ty cố phần Khoan và Dịch vụ khoan Dầu khí và các công ty cùng tập đoàn,924.930.933,6.511.193.197,924930933.0,6511193197.0
Tổng Công ty cố phần Dịch vụ Tổng hợp Dầu khí và các công ty cùng tập đoàn,Phải trả người bán ngắn hạn > Tổng Công ty cố phần Dịch vụ Tổng hợp Dầu khí và các công ty cùng tập đoàn,Tổng Công ty cố phần Dịch vụ Tổng hợp Dầu khí và các công ty cùng tập đoàn,2.720.697.538,3.621.868.061,2720697538.0,3621868061.0
Công ty Liên doanh Điều hành Hoàng Long,Phải trả người bán ngắn hạn > Công ty Liên doanh Điều hành Hoàng Long,Công ty Liên doanh Điều hành Hoàng Long,3.639.210.000,3.429.150.000,3639210000.0,3429150000.0
