row_label_raw,row_label_full,col_0,2015VND,2014VND,numeric__2015VND,numeric__2014VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,1.361.849.531.579,941.481.332.799,1361849531579.0,941481332799.0
Các điều chỉnh tăng/(giảm) lợi nhuận kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận kế toán,,
Chi phí không được khẩu trừ thuế,Các điều chỉnh tăng/(giảm) lợi nhuận kế toán > Chi phí không được khẩu trừ thuế,Chi phí không được khẩu trừ thuế,3.646.988.309,8.814.448.881,3646988309.0,8814448881.0
Phát sinh và hoàn nhập các khoản chênh lệch tạm thời,Các điều chỉnh tăng/(giảm) lợi nhuận kế toán > Phát sinh và hoàn nhập các khoản chênh lệch tạm thời,Phát sinh và hoàn nhập các khoản chênh lệch tạm thời,(3.408.074.249),(14.771.784),-3408074249.0,-14771784.0
Lợi nhuận chưa thực hiện,Các điều chỉnh tăng/(giảm) lợi nhuận kế toán > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,(1.633.476.121),1.492.791.975,-1633476121.0,1492791975.0
Thu nhập không chịu thuế:,Thu nhập không chịu thuế:,Thu nhập không chịu thuế:,Thu nhập không chịu thuế:,Thu nhập không chịu thuế:,,
"- Thu nhập được chia từ hoạt động góp vốn, mua cổ phần","Thu nhập không chịu thuế: > - Thu nhập được chia từ hoạt động góp vốn, mua cổ phần","- Thu nhập được chia từ hoạt động góp vốn, mua cổ phần",(135.600.000),(135.600.000),-135600000.0,-135600000.0
- Thu nhập từ hoạt động chế biến nông sản và hoạt độngcày đất,Thu nhập không chịu thuế: > - Thu nhập từ hoạt động chế biến nông sản và hoạt độngcày đất,- Thu nhập từ hoạt động chế biến nông sản và hoạt độngcày đất,(270.694.769.730),(7.008.966.641),-270694769730.0,-7008966641.0
Thu nhập chịu thuế trong năm,Thu nhập không chịu thuế: > Thu nhập chịu thuế trong năm,Thu nhập chịu thuế trong năm,1.089.624.599.788,944.629.235.230,1089624599788.0,944629235230.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Nhà máy Đường An Khê,Trong đó: > - Nhà máy Đường An Khê,- Nhà máy Đường An Khê,1.010.887.916,95.878.861.039,1010887916.0,95878861039.0
- Nhà máy Đường Phổ Phong,Trong đó: > - Nhà máy Đường Phổ Phong,- Nhà máy Đường Phổ Phong,22.441.464.682,16.008.361.823,22441464682.0,16008361823.0
- Nhà máy sữa đậu nành Vinasoy Quảng Ngãi,Trong đó: > - Nhà máy sữa đậu nành Vinasoy Quảng Ngãi,- Nhà máy sữa đậu nành Vinasoy Quảng Ngãi,485.370.328.203,371.009.274.217,485370328203.0,371009274217.0
- Nhà máy sữa đậu nành Vinasoy Bắc Ninh,Trong đó: > - Nhà máy sữa đậu nành Vinasoy Bắc Ninh,- Nhà máy sữa đậu nành Vinasoy Bắc Ninh,363.109.971.244,275.551.220.711,363109971244.0,275551220711.0
- Nhà máy bia Dung Quất,Trong đó: > - Nhà máy bia Dung Quất,- Nhà máy bia Dung Quất,98.419.638.639,81.869.872.068,98419638639.0,81869872068.0
- Văn phòng Công ty tại Khu công nghiệp Quảng Phú,Trong đó: > - Văn phòng Công ty tại Khu công nghiệp Quảng Phú,- Văn phòng Công ty tại Khu công nghiệp Quảng Phú,86.715.063.623,66.186.710.844,86715063623.0,66186710844.0
- Công ty TNHH MTV TM Thành Phát,Trong đó: > - Công ty TNHH MTV TM Thành Phát,- Công ty TNHH MTV TM Thành Phát,32.557.245.481,38.124.934.528,32557245481.0,38124934528.0
Thuế thu nhập doanh nghiệp theo thuế suất của Công tyvà công ty con,Trong đó: > Thuế thu nhập doanh nghiệp theo thuế suất của Công tyvà công ty con,Thuế thu nhập doanh nghiệp theo thuế suất của Công tyvà công ty con,216.601.226.451,186.582.415.635,216601226451.0,186582415635.0
Thuế thu nhập doanh nghiệp được miễn giảm theo Luật:,Thuế thu nhập doanh nghiệp được miễn giảm theo Luật:,Thuế thu nhập doanh nghiệp được miễn giảm theo Luật:,Thuế thu nhập doanh nghiệp được miễn giảm theo Luật:,Thuế thu nhập doanh nghiệp được miễn giảm theo Luật:,,
