row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm 2022 VND,Năm 2021 VND,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2022 VND,numeric__Năm 2021 VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,25,8.318.949.297.839,7.374.456.065.704,,1.0,25.0,8318949297839.0,7374456065704.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,26,63.945.618.017,39.161.673.649,,2.0,26.0,63945618017.0,39161673649.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,8.255.003.679.822,7.335.294.392.055,,10.0,,8255003679822.0,7335294392055.0
4.,4.,4.,Giá vốn hàng bán,11,27,5.796.078.008.092,5.073.234.436.282,,11.0,27.0,5796078008092.0,5073234436282.0
5.,5.,5.,Lợi nhuận gộp bán hàng và cung cấp dịch vụ,20,,2.458.925.671.730,2.262.059.955.773,,20.0,,2458925671730.0,2262059955773.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,28,191.042.786.716,142.915.484.776,,21.0,28.0,191042786716.0,142915484776.0
7.,7.,7.,Chi phí tài chính,22,29,83.722.680.028,66.281.421.486,,22.0,29.0,83722680028.0,66281421486.0
,,,Trong đó: Chi phí lãi vay,23,,83.170.019.490,65.880.925.449,,23.0,,83170019490.0,65880925449.0
8.,8.,8.,Chi phí bán hàng,25,30.a,868.297.002.640,693.932.847.200,,25.0,,868297002640.0,693932847200.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,30.b,232.062.418.660,252.508.477.645,,26.0,,232062418660.0,252508477645.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,1.465.886.357.118,1.392.252.694.218,,30.0,,1465886357118.0,1392252694218.0
11.,11.,11.,Thu nhập khác,31,31,43.757.052.420,53.029.739.734,,31.0,31.0,43757052420.0,53029739734.0
12.,12.,12.,Chi phí khác,32,32,4.320.507.909,6.125.164.821,,32.0,32.0,4320507909.0,6125164821.0
13.,13.,13.,Lợi nhuận khác,40,,39.436.544.511,46.904.574.913,,40.0,,39436544511.0,46904574913.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,1.505.322.901.629,1.439.157.269.131,,50.0,,1505322901629.0,1439157269131.0
16.,16.,16.,Chi phí thuế TNDN hiện hành,51,33,218.681.555.091,185.397.124.171,,51.0,33.0,218681555091.0,185397124171.0
17.,17.,17.,Chi phí thuế TNDN hoãn lại,52,,(102.239.042),195.966.503,,52.0,,-102239042.0,195966503.0
18.,18.,18.,Lợi nhuận sau thuế TNDN,60,,1.286.743.585.580,1.253.564.178.457,,60.0,,1286743585580.0,1253564178457.0
19.,19.,19.,Lợi nhuận sau thuế của công ty mẹ,61,,1.286.743.585.580,1.253.564.178.457,,61.0,,1286743585580.0,1253564178457.0
20.,20.,20.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,,,,62.0,,,
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,34,4.226,4.117,,70.0,34.0,4226.0,4117.0
22.,22.,22.,Lãi suy giảm trên cổ phiếu,71,34,4.226,4.117,,71.0,34.0,4226.0,4117.0
