row_label_raw,row_label_full,col_0,2017VND,2016VND,numeric__2017VND,numeric__2016VND
iii) Doanh thu khác,iii) Doanh thu khác,iii) Doanh thu khác,iii) Doanh thu khác,iii) Doanh thu khác,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH Một Thành viên Bia Sài Gòn - Hà Tĩnh,Công ty con > Công ty TNHH Một Thành viên Bia Sài Gòn - Hà Tĩnh,Công ty TNHH Một Thành viên Bia Sài Gòn - Hà Tĩnh,1.554.115.788,1.554.115.788,1554115788.0,1554115788.0
Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,396.000.000,396.000.000,396000000.0,396000000.0
"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân","Công ty con > Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân","Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân",377.505.600,377.505.600,377505600.0,377505600.0
Công ty TNHH Một Thành viên Thương mại Bia Sài Gòn,Công ty con > Công ty TNHH Một Thành viên Thương mại Bia Sài Gòn,Công ty TNHH Một Thành viên Thương mại Bia Sài Gòn,111.574.131,143.110.800,111574131.0,143110800.0
Công ty TNHH Một Thành viên Cơ khí Sabeco,Công ty con > Công ty TNHH Một Thành viên Cơ khí Sabeco,Công ty TNHH Một Thành viên Cơ khí Sabeco,79.490.798,85.450.530,79490798.0,85450530.0
Công ty TNHH Một Thành viên Bia Sài Gòn Sóc Trăng,Công ty con > Công ty TNHH Một Thành viên Bia Sài Gòn Sóc Trăng,Công ty TNHH Một Thành viên Bia Sài Gòn Sóc Trăng,52.510.500,-,52510500.0,
Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,-,27.550.000,,27550000.0
Công ty Cổ phần Bao bì Bia Sài Gòn,Công ty con > Công ty Cổ phần Bao bì Bia Sài Gòn,Công ty Cổ phần Bao bì Bia Sài Gòn,-,3.572.884,,3572884.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty liên kết > Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,3.201.716.196,3.201.716.196,3201716196.0,3201716196.0
Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty liên kết > Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,2.166.304.800,2.166.304.800,2166304800.0,2166304800.0
Công ty Liên doanh TNHH Crown Sài Gòn,Công ty liên kết > Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,-,1.455.733.166,,1455733166.0
Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty liên kết > Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,24.664.500,-,24664500.0,
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Bên liên quan khác > Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,-,100.617.176,,100617176.0
,,,7.963.882.313,9.511.676.940,7963882313.0,9511676940.0
