row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2017 VND,Tại ngày 31 tháng 12 năm > 2016 VND(Trình bày lại - Thuyết minh 40),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2017 VND,numeric__Tại ngày 31 tháng 12 năm > 2016 VND(Trình bày lại - Thuyết minh 40)
100,100,100,TÀI SẢN NGẮN HẠN,,11.323.011.283.213,7.197.862.235.245,,,11323011283213.0,7197862235245.0
110,110,110,Tiền và các khoản tương đương tiền,3,2.382.294.145.898,1.880.612.291.229,,3.0,2382294145898.0,1880612291229.0
111,111,111,Tiền,,262.294.145.898,180.612.291.229,,,262294145898.0,180612291229.0
112,112,112,Các khoản tương đương tiền,,2.120.000.000.000,1.700.000.000.000,,,2120000000000.0,1700000000000.0
120,120,120,Các khoản đầu tư tài chính ngắn hạn,,6.374.000.000.000,2.940.000.000.000,,,6374000000000.0,2940000000000.0
123,123,123,Đầu tư nắm giữ đến ngày đáo hạn,4(a),6.374.000.000.000,2.940.000.000.000,,,6374000000000.0,2940000000000.0
130,130,130,Các khoản phải thu ngắn hạn,,2.156.246.766.937,1.323.984.478.709,,,2156246766937.0,1323984478709.0
131,131,131,Phải thu ngắn hạn của khách hàng,5,1.305.092.241.908,654.947.891.118,,5.0,1305092241908.0,654947891118.0
132,132,132,Trả trước cho người bán ngắn hạn,6,9.564.895.915,25.835.999.243,,6.0,9564895915.0,25835999243.0
136,136,136,Phải thu ngắn hạn khác,7(a),867.877.020.095,669.487.979.329,,,867877020095.0,669487979329.0
137,137,137,Dự phòng phải thu ngắn hạn khó đòi,8(a),(40.787.786.892),(40.787.786.892),,,-40787786892.0,-40787786892.0
139,139,139,Tài sản thiếu chờ xử lý,9,14.500.395.911,14.500.395.911,,9.0,14500395911.0,14500395911.0
140,140,140,Hàng tồn kho,10(a),388.093.755.215,395.709.326.162,,,388093755215.0,395709326162.0
141,141,141,Hàng tồn kho,,414.420.214.598,410.266.010.507,,,414420214598.0,410266010507.0
149,149,149,Dự phòng giảm giá hàng tồn kho,,(26.326.459.383),(14.556.684.345),,,-26326459383.0,-14556684345.0
150,150,150,Tài sản ngắn hạn khác,,22.376.615.163,657.556.139.145,,,22376615163.0,657556139145.0
151,151,151,Chi phí trả trước ngắn hạn,11(a),1.491.233.083,7.330.467.472,,,1491233083.0,7330467472.0
152,152,152,Thuế GTGT được khấu trừ,18,20.885.169.356,9.424.137.131,,18.0,20885169356.0,9424137131.0
153,153,153,Thuế và các khoản khác phải thu Ngân sách Nhà nước,"12, 18",212.724,640.801.534.542,,,212724.0,640801534542.0
