row_label_raw,row_label_full,No.,Company name,Principal activities,31/12/2024 > % of equity interest,31/12/2024 > % of voting rights,1/1/2024 > % of equity interest,1/1/2024 > % of voting rights,numeric__Company name,numeric__Principal activities,numeric__31/12/2024 > % of equity interest,numeric__31/12/2024 > % of voting rights,numeric__1/1/2024 > % of equity interest,numeric__1/1/2024 > % of voting rights
I,I,I,Subsidiaries,,,,,,,,,,,
1,I > 1,1,Western - Sai Gon Beer Joint Stock Company,Producing and trading beer,84.46%,84.46%,70.55%,70.55%,,,84.46,84.46,70.55,70.55
2,I > 2,2,Chuong Duong Beverages Joint Stock Company,"Producing and trading beverages, canned food and accessories",62.06%,62.06%,62.06%,62.06%,,,62.06,62.06,62.06,62.06
3,I > 3,3,Sai Gon - Quang Ngai Beer Joint Stock Company,Producing and trading beer,66.56%,66.56%,66.56%,66.56%,,,66.56,66.56,66.56,66.56
4,I > 4,4,Binh Tay Liquor Joint Stock Company,Producing and trading alcohol,93.32%,93.47%,93.32%,93.47%,,,93.32,93.47,93.32,93.47
5,I > 5,5,"Sai Gon - Dong Xuan Beer, Alcohol Joint Stock Company",Producing and trading beer and soft drinks,55.90%,56.24%,55.90%,56.24%,,,55.9,56.24,55.9,56.24
6,I > 6,6,Saigon - Nghetinh Beer Joint Stock Company,"Producing and trading beer, alcohol and beverages",54.73%,54.73%,54.73%,54.73%,,,54.73,54.73,54.73,54.73
7,I > 7,7,Saigon - Songlam Beer Joint Stock Company,Producing and trading beer and beverages; importing and exporting related materials,68.78%,68.78%,68.78%,68.78%,,,68.78,68.78,68.78,68.78
8,I > 8,8,Sai Gon - Ha Noi Beer Corporation,Producing and trading beer and beverages; importing and exporting related materials,52.11%,52.11%,52.11%,52.11%,,,52.11,52.11,52.11,52.11
9,I > 9,9,Saigon Beer Trading Company Limited,"Trading beer, alcohol and beverages",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
10,I > 10,10,Northern Sai Gon Beer Trading Joint Stock Company,"Trading beer, alcohol and beverages; providing transportation and warehousing services",90.00%,90.00%,90.00%,90.00%,,,90.0,90.0,90.0,90.0
11,I > 11,11,Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,"Trading beer, alcohol and beverages; providing transportation and warehousing services",95.07%,95.07%,95.07%,95.07%,,,95.07,95.07,95.07,95.07
12,I > 12,12,Saigon Beer Center Trading Joint Stock Company,"Wholesale of beer, alcohol drinks; wholesale of non-alcohol drinks, wholesale of other chemicals, alcohol; trading packaging; providing cargo transportation by car",94.47%,94.47%,94.45%,94.45%,,,94.47,94.47,94.45,94.45
13,I > 13,13,Saigon Beer Mien Trung Trading Joint Stock Company,"Trading beer, alcohol and beverages; providing warehousing and cargo transportation by car services",91.24%,91.24%,91.24%,91.24%,,,91.24,91.24,91.24,91.24
