row_label_raw,row_label_full,col_0,Cáp và vật liệuviễn thông,Xây dựng và kinh doanhbắt động sản,Đầu tư tài chính vàlĩnh vực khác,Tổng cộng,numeric__Cáp và vật liệuviễn thông,numeric__Xây dựng và kinh doanhbắt động sản,numeric__Đầu tư tài chính vàlĩnh vực khác,numeric__Tổng cộng
Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2017,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu thuần > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,1.876.999.489.988,343.868.170.229,-,2.220.867.660.217,1876999489988.0,343868170229.0,,2220867660217.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,
Lợi nhuận gộp của bộ phận,Kết quả hoạt động kinh doanh > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,149.522.008.088,40.016.501.412,-,189.538.509.500(134.592.308.723),149522008088.0,40016501412.0,,
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,21.855.003.944,,,,21855003944.0
Phần lợi nhuận từ công ty liên kết,Kết quả hoạt động kinh doanh > Phần lợi nhuận từ công ty liên kết,Phần lợi nhuận từ công ty liên kết,,,,237.947.496.031,,,,237947496031.0
Doanh thu tài chính,Kết quả hoạt động kinh doanh > Doanh thu tài chính,Doanh thu tài chính,,,,(170.190.466.726),,,,-170190466726.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,(1.596.787.250),,,,-1596787250.0
Lỗ khác,Lỗ khác,Lỗ khác,Lỗ khác,Lỗ khác,Lỗ khác,Lỗ khác,,,,
Lợi nhuận (lỗ) thuần trước thuế,Lỗ khác > Lợi nhuận (lỗ) thuần trước thuế,Lợi nhuận (lỗ) thuần trước thuế,68.425.270.263,(2.486.155.900),77.022.332.413,142.961.446.776,68425270263.0,-2486155900.0,77022332413.0,142961446776.0
Chi phí thuế TNDN,Lỗ khác > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,(21.196.067.767),,,,-21196067767.0
Chi phí thuế TNDN hoãn lại,Lỗ khác > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,(7.812.768.491),,,,-7812768491.0
Lợi nhuận sau thuế,Lỗ khác > Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,113.952.610.518,,,,113952610518.0
Lợi ích cổ đông không kiểm soát,Lỗ khác > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,,4.771.114.678,,,,4771114678.0
Lợi nhuận sau thuế công ty mẹ,Lỗ khác > Lợi nhuận sau thuế công ty mẹ,Lợi nhuận sau thuế công ty mẹ,,,,109.181.495.840,,,,109181495840.0
Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,Vào ngày 31 tháng 12 năm 2017,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,1.097.981.510.932,1.522.945.402.190,1.614.143.618.193,4.235.070.531.315,1097981510932.0,1522945402190.0,1614143618193.0,4235070531315.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,98.182.149.151,,,,98182149151.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,
Công nợ bộ phận,Tổng tài sản > Công nợ bộ phận,Công nợ bộ phận,611.691.794.257,455.903.767.381,545.386.761.304,4.333.252.680.466,611691794257.0,455903767381.0,545386761304.0,4333252680466.0
Công nợ không phân bổ,Tổng tài sản > Công nợ không phân bổ,Công nợ không phân bổ,,,,1.612.982.322.942,,,,1612982322942.0
,,,,,,52.035.764.090,,,,52035764090.0
Tổng công nợ,Tổng tài sản > Tổng công nợ,Tổng công nợ,,,,1.665.018.087.032,,,,1665018087032.0
