row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,249.090.909,1.023.943.943,4.903.158.033,6.770.561.750,12.946.754.635,249090909.0,1023943943.0,4903158033.0,6770561750.0,12946754635.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,3.524.181.818,686.328.833,4.210.510.651,,,3524181818.0,686328833.0,4210510651.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,249.090.909,1.023.943.943,8.427.339.851,7.456.890.583,17.157.265.286,249090909.0,1023943943.0,8427339851.0,7456890583.0,17157265286.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,20.757.576,1.023.943.943,4.903.158.033,5.436.133.462,11.383.993.014,20757576.0,1023943943.0,4903158033.0,5436133462.0,11383993014.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,41.515.152,-,238.736.936,525.724.186,805.976.274,41515152.0,,238736936.0,525724186.0,805976274.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,62.272.728,1.023.943.943,5.141.894.969,5.961.857.648,12.189.969.288,62272728.0,1023943943.0,5141894969.0,5961857648.0,12189969288.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,228.333.333,-,-,1.334.428.288,1.562.761.621,228333333.0,,,1334428288.0,1562761621.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,186.818.181,-,3.285.444.882,1.495.032.935,4.967.295.998,186818181.0,,3285444882.0,1495032935.0,4967295998.0
