row_label_raw,row_label_full,col_0,Nhà cửa VND,numeric__Nhà cửa VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,107.476.157.117,107476157117.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,83.048.988.744,83048988744.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(159.014.081.487),-159014081487.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,31.511.064.374,31511064374.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,12.348.194.129,12348194129.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.937.675.451,2937675451.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(11.623.739.181),-11623739181.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.662.130.399,3662130399.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,95.127.962.988,95127962988.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,27.848.933.975,27848933975.0
