row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,Phần mềm máy vi tính,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,367.236,44.914,412.150,367236.0,44914.0,412150.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,2.859,1.893,4.752,2859.0,1893.0,4752.0
- Tăng do điều chỉnh,Nguyên giá TSCĐ vô hình > - Tăng do điều chỉnh,- Tăng do điều chỉnh,12.591,-,12.591,12591.0,,12591.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(68),-,(68),-68.0,,-68.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,382.618,46.807,429.425,382618.0,46807.0,429425.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,9.820,42.359,52.179,9820.0,42359.0,52179.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế > - Hao mòn trong năm,- Hao mòn trong năm,13.883,2.393,16.276,13883.0,2393.0,16276.0
- Tăng do điều chỉnh,Giá trị hao mòn lũy kế > - Tăng do điều chỉnh,- Tăng do điều chỉnh,4.455,-,4.455,4455.0,,4455.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,28.158,44.752,72.910,28158.0,44752.0,72910.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,357.416,2.555,359.971,357416.0,2555.0,359971.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,354.460,2.055,356.515,354460.0,2055.0,356515.0
- Tăng giảm tài sản cố định vô hình năm 2015:,- Tăng giảm tài sản cố định vô hình năm 2015:,- Tăng giảm tài sản cố định vô hình năm 2015:,- Tăng giảm tài sản cố định vô hình năm 2015:,- Tăng giảm tài sản cố định vô hình năm 2015:,- Tăng giảm tài sản cố định vô hình năm 2015:,,,
Khoản mục,Khoản mục,Khoản mục,Quyền sử dụng đất,Phần mềm máy vi tính,Tổng cộng,,,
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,360.952,44.914,405.866,360952.0,44914.0,405866.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,6.284,-,6.284,6284.0,,6284.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,367.236,44.914,412.150,367236.0,44914.0,412150.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,9.469,39.815,49.284,9469.0,39815.0,49284.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế > - Hao mòn trong năm,- Hao mòn trong năm,351,2.544,2.895,351.0,2544.0,2895.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,9.820,42.359,52.179,9820.0,42359.0,52179.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,351.483,5.099,356.582,351483.0,5099.0,356582.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,357.416,2.555,359.971,357416.0,2555.0,359971.0
