row_label_raw,row_label_full,13. Tài sản cố định thuê tài chính,13. Tài sản cố định thuê tài chính_1,13. Tài sản cố định thuê tài chính_2,13. Tài sản cố định thuê tài chính_3,13. Tài sản cố định thuê tài chính_4,numeric__13. Tài sản cố định thuê tài chính_1,numeric__13. Tài sản cố định thuê tài chính_2,numeric__13. Tài sản cố định thuê tài chính_3,numeric__13. Tài sản cố định thuê tài chính_4
,,,Tại ngày 06/4/2018,Tăng trong năm,Khấu hao trong năm,Tại ngày 31/12/2018,,,,
Nguyên giá,Nguyên giá,Nguyên giá,19.740.000.000,13.085.583.090,,32.825.583.090,19740000000.0,13085583090.0,,32825583090.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,3.196.617.755,,8.467.570.096,11.664.187.851,3196617755.0,,8467570096.0,11664187851.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,16.543.382.245,13.085.583.090,8.467.570.096,21.161.395.239,16543382245.0,13085583090.0,8467570096.0,21161395239.0
14. Tài sản cố định vô hình,14. Tài sản cố định vô hình,14. Tài sản cố định vô hình,14. Tài sản cố định vô hình,14. Tài sản cố định vô hình,14. Tài sản cố định vô hình,14. Tài sản cố định vô hình,,,,
,,,Chi phí quyền sử dụng đất,Phần mềm máy tính,Tài sản cố định vô hình khác,Cộng,,,,
Nguyên giá,14. Tài sản cố định vô hình > Nguyên giá,Nguyên giá,10.935.518.564,4.927.847.447,740.000.000,16.603.366.011,10935518564.0,4927847447.0,740000000.0,16603366011.0
Tại ngày 06/4/2018,14. Tài sản cố định vô hình > Tại ngày 06/4/2018,Tại ngày 06/4/2018,10.935.518.564,4.927.847.447,740.000.000,16.603.366.011,10935518564.0,4927847447.0,740000000.0,16603366011.0
Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,,,,,,,,
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,,,,,
Tại ngày 06/4/2018,Giá trị hao mòn > Tại ngày 06/4/2018,Tại ngày 06/4/2018,709.517.301,3.495.353.720,582.194.447,4.787.065.468,709517301.0,3495353720.0,582194447.0,4787065468.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,41.387.283,378.519.750,27.972.225,447.879.258,41387283.0,378519750.0,27972225.0,447879258.0
Tại ngày 31/12/2018,Giá trị hao mòn > Tại ngày 31/12/2018,Tại ngày 31/12/2018,750.904.584,3.873.873.470,610.166.672,5.234.944.726,750904584.0,3873873470.0,610166672.0,5234944726.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,
Tại ngày 06/4/2018,Giá trị còn lại > Tại ngày 06/4/2018,Tại ngày 06/4/2018,10.226.001.263,1.432.493.727,157.805.553,11.816.300.543,10226001263.0,1432493727.0,157805553.0,11816300543.0
Tại ngày 31/12/2018,Giá trị còn lại > Tại ngày 31/12/2018,Tại ngày 31/12/2018,10.184.613.980,1.053.973.977,129.833.328,11.368.421.285,10184613980.0,1053973977.0,129833328.0,11368421285.0
