row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,13.256.686.548.645,13.776.424.789.169,,100.0,,13256686548645.0,13776424789169.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,792.062.478.397,758.589.653.071,,110.0,,792062478397.0,758589653071.0
1.,1.,1.,Tiền,111,,623.266.434.752,571.781.282.897,,111.0,,623266434752.0,571781282897.0
2.,2.,2.,Các khoản tương đương tiền,112,,168.796.043.645,186.808.370.174,,112.0,,168796043645.0,186808370174.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,370.554.860.930,331.519.579.347,,120.0,,370554860930.0,331519579347.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2a,26.522.739.614,26.522.739.614,,121.0,,26522739614.0,26522739614.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,V.2a,(2.610.510.864),(2.610.510.864),,122.0,,-2610510864.0,-2610510864.0
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,V.2b,346.642.632.180,307.607.350.597,,123.0,,346642632180.0,307607350597.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,9.031.088.336.261,9.338.360.478.076,,130.0,,9031088336261.0,9338360478076.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3a,4.558.034.480.220,4.423.642.698.179,,131.0,,4558034480220.0,4423642698179.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4,457.621.948.817,331.427.304.341,,132.0,,457621948817.0,331427304341.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,V.5a,3.050.855.595.293,3.605.439.861.069,,135.0,,3050855595293.0,3605439861069.0
6.,6.,6.,Phải thu ngắn hạn khác,136,V.6a,1.309.992.396.288,1.268.555.106.845,,136.0,,1309992396288.0,1268555106845.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(356.428.515.903),(291.651.727.006),,137.0,,-356428515903.0,-291651727006.0
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,11.012.431.546,947.234.648,,139.0,,11012431546.0,947234648.0
IV.,IV.,IV.,Hàng tồn kho,140,V.8,2.859.024.304.136,3.118.103.866.882,,140.0,,2859024304136.0,3118103866882.0
1.,1.,1.,Hàng tồn kho,141,,2.871.889.384.808,3.118.885.014.665,,141.0,,2871889384808.0,3118885014665.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(12.865.080.672),(781.147.783),,149.0,,-12865080672.0,-781147783.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,203.956.568.921,229.851.211.793,,150.0,,203956568921.0,229851211793.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.9a,73.326.122.799,84.166.062.262,,151.0,,73326122799.0,84166062262.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,123.384.478.124,138.276.415.750,,152.0,,123384478124.0,138276415750.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.19,7.245.967.998,7.408.733.781,,153.0,,7245967998.0,7408733781.0
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5,5,5,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
