row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
D - NGUỒN VỐN CHỦ SỞ HỮU,D - NGUỒN VỐN CHỦ SỞ HỮU,D - NGUỒN VỐN CHỦ SỞ HỮU,D - NGUỒN VỐN CHỦ SỞ HỮU,400,,4.517.746.529.519,4.495.371.120.000,,400.0,,4517746529519.0,4495371120000.0
I.,I.,I.,Vốn chủ sở hữu,410,V.21,4.517.746.529.519,4.495.371.120.000,,410.0,,4517746529519.0,4495371120000.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,4.495.371.120.000,4.495.371.120.000,,411.0,,4495371120000.0,4495371120000.0
-,-,-,Cổ phiếu phổ thông có quyền biểu quyết,411a,,4.495.371.120.000,4.495.371.120.000,,,,4495371120000.0,4495371120000.0
-,-,-,Cổ phiếu ưu đãi,411b,,-,-,,,,,
2.,- > 2.,2.,Thặng dư vốn cổ phần,412,,-,-,,412.0,,,
3.,- > 3.,3.,Quyền chọn chuyển đổi trái phiếu,413,,-,-,,413.0,,,
4.,- > 4.,4.,Vốn khác của chủ sở hữu,414,,-,-,,414.0,,,
5.,- > 5.,5.,Cổ phiếu quỹ,415,,-,-,,415.0,,,
6.,- > 6.,6.,Chênh lệch đánh giá lại tài sản,416,,-,-,,416.0,,,
7.,- > 7.,7.,Chênh lệch tỷ giá hối đoái,417,,-,-,,417.0,,,
8.,- > 8.,8.,Quỹ đầu tư phát triển,418,,-,-,,418.0,,,
9.,- > 9.,9.,Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,-,-,,419.0,,,
10.,- > 10.,10.,Quỹ khác thuộc vốn chủ sở hữu,420,,-,-,,420.0,,,
11.,- > 11.,11.,Lợi nhuận sau thuế chưa phân phối,421,,22.375.409.519,-,,421.0,,22375409519.0,
-,-,-,LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,-,-,,,,,
-,- > -,-,LNST chưa phân phối kỳ này,421b,,22.375.409.519,-,,,,22375409519.0,
12.,- > 12.,12.,Nguồn vốn đầu tư xây dựng cơ bản,422,,-,-,,422.0,,,
II.,- > II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
1.,- > 1.,1.,Nguồn kinh phí,431,,-,-,,431.0,,,
2.,- > 2.,2.,Nguồn kinh phí đã hình thành tài sản cố định,432,,-,-,,432.0,,,
,,,TỔNG CỘNG NGUỒN VỐN,440,,15.652.635.735.476,16.454.484.757.963,,440.0,,15652635735476.0,16454484757963.0
