row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","III. Lưu chuyển tiền từ hoạt động tài chính > 1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,-,9.410.000.000,31.0,,,9410000000.0
"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","III. Lưu chuyển tiền từ hoạt động tài chính > 2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,-,-,32.0,,,
3. Tiền thu từ đi vay,III. Lưu chuyển tiền từ hoạt động tài chính > 3. Tiền thu từ đi vay,3. Tiền thu từ đi vay,33,V.19,625.208.308.863,1.841.641.765.831,33.0,,625208308863.0,1841641765831.0
4. Tiền trả nợ gốc vay,III. Lưu chuyển tiền từ hoạt động tài chính > 4. Tiền trả nợ gốc vay,4. Tiền trả nợ gốc vay,34,V.19,(950.300.195.082),(2.624.028.667.811),34.0,,-950300195082.0,-2624028667811.0
5. Tiền trả nợ gốc thuê tài chính,III. Lưu chuyển tiền từ hoạt động tài chính > 5. Tiền trả nợ gốc thuê tài chính,5. Tiền trả nợ gốc thuê tài chính,35,,-,-,35.0,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. Lưu chuyển tiền từ hoạt động tài chính > 6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,-,-,36.0,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(325.091.886.219),(772.976.901.980),40.0,,-325091886219.0,-772976901980.0
Lưu chuyển tiền thuần trong năm,III. Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,,(149.317.582.268),(213.924.670.494),50.0,,-149317582268.0,-213924670494.0
Tiền và tương đương tiền đầu năm,III. Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,V.1,206.398.301.098,419.998.595.925,60.0,,206398301098.0,419998595925.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. Lưu chuyển tiền từ hoạt động tài chính > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,822.723.052,324.375.667,61.0,,822723052.0,324375667.0
Tiền và tương đương tiền cuối năm,III. Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,V.1,57.903.441.882,206.398.301.098,70.0,,57903441882.0,206398301098.0
