row_label_raw,row_label_full,col_0,Từ 01/01/2017đến 31/12/2017VND,Từ 01/02/2016đến 31/12/2016VND,numeric__Từ 01/01/2017đến 31/12/2017VND,numeric__Từ 01/02/2016đến 31/12/2016VND
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,24.308.004.663,17.046.873.004,24308004663.0,17046873004.0
Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,261.086.816,1.082.965.164,261086816.0,1082965164.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,1.526.609.400,2.430.026.938,1526609400.0,2430026938.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",4.000.000,-,4000000.0,
Chi phí dự phòng,Chi phí dự phòng,Chi phí dự phòng,495.697.097,-,495697097.0,
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,1.730.789.228,1.667.405.095,1730789228.0,1667405095.0
"Chi phí xăng nhớt, phí cầu đường","Chi phí xăng nhớt, phí cầu đường","Chi phí xăng nhớt, phí cầu đường",591.579.439,494.217.750,591579439.0,494217750.0
Chi phí khác,Chi phí khác,Chi phí khác,1.139.209.789,1.173.187.345,1139209789.0,1173187345.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,14.509.941.602,4.115.809.948,14509941602.0,4115809948.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,848.762.015,124.909.091,848762015.0,124909091.0
"Chi phí tiếp khách, hội nghị","Chi phí tiếp khách, hội nghị","Chi phí tiếp khách, hội nghị",645.175.134,275.080.426,645175134.0,275080426.0
Chi phí đi công tác,Chi phí đi công tác,Chi phí đi công tác,1.417.748.156,463.305.693,1417748156.0,463305693.0
Chi phí khác,Chi phí khác,Chi phí khác,11.598.256.297,3.252.514.738,11598256297.0,3252514738.0
Cộng,Cộng,Cộng,42.836.128.806,26.343.080.149,42836128806.0,26343080149.0
