row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2022Triệu VND,31/12/2021Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2022Triệu VND,numeric__31/12/2021Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮUNỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,17,3.838.696,2.172.763,,17.0,3838696.0,2172763.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNNVN",,3.838.696,2.172.763,,,3838696.0,2172763.0
II,B > II,II,Tiền gửi và vay các TCTD khác,18,59.719.627,58.365.998,,18.0,59719627.0,58365998.0
1,B > 1,1,Tiền gửi của các TCTD khác,,44.265.765,35.552.732,,,44265765.0,35552732.0
2,B > 2,2,Vay các TCTD khác,,15.453.862,22.813.266,,,15453862.0,22813266.0
III,B > III,III,Huy động từ tiền gửi của khách hàng,19,115.547.271,109.784.637,,19.0,115547271.0,109784637.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,20,14.963,47.804,,20.0,14963.0,47804.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,1.020,1.020,,,1020.0,1020.0
VI,B > VI,VI,Huy động từ phát hành giấy tờ có giá cho khách hàng,21,21.504.600,19.053.200,,21.0,21504600.0,19053200.0
VII,B > VII,VII,Các khoản nợ khác,22,4.564.659,3.574.829,,22.0,4564659.0,3574829.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,3.699.830,2.947.979,,,3699830.0,2947979.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,864.829,626.850,,,864829.0,626850.0
,,,TỔNG NỘ PHẢI TRẢ,,205.190.836,193.000.251,,,205190836.0,193000251.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn và các quỹ,23,26.232.220,18.663.264,,23.0,26232220.0,18663264.0
1,B > 1,1,Vốn,,21.607.167,15.595.507,,,21607167.0,15595507.0
a,B > a,a,Vốn điều lệ,,20.402.983,14.784.884,,,20402983.0,14784884.0
c,B > c,c,Thặng dư vốn cổ phần,,1.204.184,810.623,,,1204184.0,810623.0
2,B > 2,2,Các quỹ của TCTD,,1.155.967,855.641,,,1155967.0,855641.0
5,B > 5,5,Lợi nhuận chưa phân phối,,3.469.086,2.212.116,,,3469086.0,2212116.0
6,6,6,Lợi ích của cổ đông không kiểm soát,,-,-,,,,
,,,TỔNG VỐN CHỦ SỞ HỮUTỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,26.232.220,18.663.264,,,26232220.0,18663264.0
,,,,,231.423.056,211.663.515,,,231423056.0,211663515.0
