row_label_raw,row_label_full,Tại ngày 31/12/2022(TriệuVND),Không nhạy cảm lãi suất,Quá hạn,Dưới 1 tháng,Từ 1-3 tháng,Từ trên 3-6 tháng,Từ trên 6-12 tháng,Từ trên 1-5 năm,Trên 5 năm,Tổng cộng,numeric__Không nhạy cảm lãi suất,numeric__Quá hạn,numeric__Dưới 1 tháng,numeric__Từ 1-3 tháng,numeric__Từ trên 3-6 tháng,numeric__Từ trên 6-12 tháng,numeric__Từ trên 1-5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,1.037.807,-,-,-,-,-,-,-,1.037.807,1037807.0,,,,,,,,1037807.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,9.826.851,-,-,-,-,-,-,-,9.826.851,9826851.0,,,,,,,,9826851.0
Tiền gửi tại và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,7.711.185,-,23.667.000,10.390.225,150.000,3.150.000,-,-,45.068.410,7711185.0,,23667000.0,10390225.0,150000.0,3150000.0,,,45068410.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,3.987.085,-,-,-,-,-,3.987.085,,,3987085.0,,,,,,3987085.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,3.029.298,33.233.192,51.839.207,38.134.267,20.761.648,6.682.891,275.489,153.955.992,,3029298.0,33233192.0,51839207.0,38134267.0,20761648.0,6682891.0,275489.0,153955992.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,82.054,-,15.000,1.025.485,324.000,1.850.917,1.232.487,4.136.819,8.666.762,82054.0,,15000.0,1025485.0,324000.0,1850917.0,1232487.0,4136819.0,8666762.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",62.432,-,-,-,-,-,-,-,62.432,62432.0,,,,,,,,62432.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,1.143.739,-,-,-,-,-,-,-,1.143.739,1143739.0,,,,,,,,1143739.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,10.168.353,-,-,-,-,-,-,-,10.168.353,10168353.0,,,,,,,,10168353.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,30.032.421,3.029.298,60.902.277,63.254.917,38.608.267,25.762.565,7.915.378,4.412.308,233.917.431,30032421.0,3029298.0,60902277.0,63254917.0,38608267.0,25762565.0,7915378.0,4412308.0,233917431.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,1.700.330,53.201,68.086,2.017.079,-,-,3.838.696,,,1700330.0,53201.0,68086.0,2017079.0,,,3838696.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,7.229.595,-,25.815.863,13.816.634,533.192,3.500.593,6.470.750,2.353.000,59.719.627,7229595.0,,25815863.0,13816634.0,533192.0,3500593.0,6470750.0,2353000.0,59719627.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,29.720.093,21.353.798,40.006.568,17.443.011,7.023.781,20,115.547.271,,,29720093.0,21353798.0,40006568.0,17443011.0,7023781.0,20.0,115547271.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,14.963,-,-,-,-,-,-,-,14.963,14963.0,,,,,,,,14963.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",1.020,-,-,-,-,-,-,-,1.020,1020.0,,,,,,,,1020.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,3.200.000,2.800.000,15.504.600,-,21.504.600,,,,,3200000.0,2800000.0,15504600.0,,21504600.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,4.564.659,-,-,-,-,-,-,-,4.564.659,4564659.0,,,,,,,,4564659.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,11.810.237,-,57.236.286,35.223.633,43.807.846,25.760.683,28.999.131,2.353.020,205.190.836,11810237.0,,57236286.0,35223633.0,43807846.0,25760683.0,28999131.0,2353020.0,205190836.0
Mức chênh lệch nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội bảng,Mức chênh lệch nhạy cảm với lãi suất nội bảng,18.222.184,3.029.298,3.665.991,28.031.284,(5.199.579),1.882,(21.083.753),2.059.288,28.726.595,18222184.0,3029298.0,3665991.0,28031284.0,-5199579.0,1882.0,-21083753.0,2059288.0,28726595.0
Mức chênh lệch nhạy cảm với lãi suất ngoại bảng,Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất ngoại bảng,Mức chênh lệch nhạy cảm với lãi suất ngoại bảng,-,-,-,-,-,(34.730),-,-,(34.730),,,,,,-34730.0,,,-34730.0
"Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng","Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng",18.222.184,3.029.298,3.665.991,28.031.284,(5.199.579),(32.848),(21.083.753),2.059.288,28.691.865,18222184.0,3029298.0,3665991.0,28031284.0,-5199579.0,-32848.0,-21083753.0,2059288.0,28691865.0
