row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phương tiệnvận tải,truyền đãnTriệu VND",Thiết bịvăn phòngTriệu VND,Tài sãncố định khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phương tiệnvận tải,truyền đãnTriệu VND",numeric__Thiết bịvăn phòngTriệu VND,numeric__Tài sãncố định khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,19.075,321.200,396.022,119.032,22.350,877.679,19075.0,321200.0,396022.0,119032.0,22350.0,877679.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,160.190,27.042,3.633,17.655,208.520,,160190.0,27042.0,3633.0,17655.0,208520.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(474),(100),(2.644),(108),(3.326),,-474.0,-100.0,-2644.0,-108.0,-3326.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,19.075,480.916,422.964,120.021,39.897,1.082.873,19075.0,480916.0,422964.0,120021.0,39897.0,1082873.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,5.842,162.725,186.294,85.997,9.632,450.490,5842.0,162725.0,186294.0,85997.0,9632.0,450490.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,870,31.664,37.508,11.615,2.787,84.444,870.0,31664.0,37508.0,11615.0,2787.0,84444.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(474),(100),(2.644),(108),(3.326),,-474.0,-100.0,-2644.0,-108.0,-3326.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,6.712,193.915,223.702,94.968,12.311,531.608,6712.0,193915.0,223702.0,94968.0,12311.0,531608.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,13.233,158.475,209.728,33.035,12.718,427.189,13233.0,158475.0,209728.0,33035.0,12718.0,427189.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,12.363,287.001,199.262,25.053,27.586,551.265,12363.0,287001.0,199262.0,25053.0,27586.0,551265.0
