row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
,,,VND,VND,,
Lương thường và các khoản phúc lợi khác của Ban Tổng Giám đốc,Lương thường và các khoản phúc lợi khác của Ban Tổng Giám đốc,Lương thường và các khoản phúc lợi khác của Ban Tổng Giám đốc,4.864.223.555,1.704.472.079,4864223555.0,1704472079.0
Bà Đỗ Thị Định,Bà Đỗ Thị Định,Bà Đỗ Thị Định,811.478.634,-,811478634.0,
Ông Bùi Văn Tư,Ông Bùi Văn Tư,Ông Bùi Văn Tư,1.096.877.173,290.713.200,1096877173.0,290713200.0
Ông Đỗ Văn Trường,Ông Đỗ Văn Trường,Ông Đỗ Văn Trường,166.208.791,400.000.000,166208791.0,400000000.0
Bà Dương Thị Thu Hiền,Bà Dương Thị Thu Hiền,Bà Dương Thị Thu Hiền,605.085.742,200.000.000,605085742.0,200000000.0
Bà Nguyễn Thị Hồng Hạnh,Bà Nguyễn Thị Hồng Hạnh,Bà Nguyễn Thị Hồng Hạnh,918.443.480,493.468.000,918443480.0,493468000.0
Bà Lê Thị Hoàng Phương,Bà Lê Thị Hoàng Phương,Bà Lê Thị Hoàng Phương,797.047.670,174.528.593,797047670.0,174528593.0
Bà Nguyễn Thị Thanh Ngọc,Bà Nguyễn Thị Thanh Ngọc,Bà Nguyễn Thị Thanh Ngọc,249.608.137,Chưa là thành viên Ban Tổng giám đốc,249608137.0,
Bà Nguyễn Thủy Nguyên,Bà Nguyễn Thủy Nguyên,Bà Nguyễn Thủy Nguyên,219.473.928,Chưa là thành viên Ban Tổng giám đốc,219473928.0,
Bà Nguyễn Thị Phương Loan,Bà Nguyễn Thị Phương Loan,Bà Nguyễn Thị Phương Loan,Không còn là thành viên Ban Tổng Giám đốc,145.762.286,,145762286.0
Thù lao của Hội đồng Quản trị,Thù lao của Hội đồng Quản trị,Thù lao của Hội đồng Quản trị,-,-,,
,,,4.864.223.555,1.704.472.079,4864223555.0,1704472079.0
