row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
1. Các khoản phải thu bán các tài sản tài chínhTrong đó các khoản phải thu về bán các tài sản tài chính không có khả năng thu hồi (1),1. Các khoản phải thu bán các tài sản tài chínhTrong đó các khoản phải thu về bán các tài sản tài chính không có khả năng thu hồi (1),1. Các khoản phải thu bán các tài sản tài chínhTrong đó các khoản phải thu về bán các tài sản tài chính không có khả năng thu hồi (1),300.141.137.920,26.678.453.070,300141137920.0,26678453070.0
1. Các khoản phải thu bán các tài sản tài chínhTrong đó các khoản phải thu về bán các tài sản tài chính không có khả năng thu hồi (1),1. Các khoản phải thu bán các tài sản tài chínhTrong đó các khoản phải thu về bán các tài sản tài chính không có khả năng thu hồi (1),1. Các khoản phải thu bán các tài sản tài chínhTrong đó các khoản phải thu về bán các tài sản tài chính không có khả năng thu hồi (1),299.429.263.720,2.531.847.570,299429263720.0,2531847570.0
"2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chínhTrong đó các khoản phải thu và dự thu khóđời về cổ tức, tiền lãi các tài sản tài chính","2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chínhTrong đó các khoản phải thu và dự thu khóđời về cổ tức, tiền lãi các tài sản tài chính","2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chínhTrong đó các khoản phải thu và dự thu khóđời về cổ tức, tiền lãi các tài sản tài chính",1.571.232.877,1.163.200.000,1571232877.0,1163200000.0
"2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chínhTrong đó các khoản phải thu và dự thu khóđời về cổ tức, tiền lãi các tài sản tài chính","2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chínhTrong đó các khoản phải thu và dự thu khóđời về cổ tức, tiền lãi các tài sản tài chính","2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chínhTrong đó các khoản phải thu và dự thu khóđời về cổ tức, tiền lãi các tài sản tài chính",-,-,,
3. Trả trước cho người bán,"2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chínhTrong đó các khoản phải thu và dự thu khóđời về cổ tức, tiền lãi các tài sản tài chính > 3. Trả trước cho người bán",3. Trả trước cho người bán,29.537.058.111,17.069.462.403,29537058111.0,17069462403.0
4. Phải thu các dịch vụ CTCK cung cấpTrong đó phải thu khó đòi các dịch vụ CTCK cung cấp,"2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chínhTrong đó các khoản phải thu và dự thu khóđời về cổ tức, tiền lãi các tài sản tài chính > 4. Phải thu các dịch vụ CTCK cung cấpTrong đó phải thu khó đòi các dịch vụ CTCK cung cấp",4. Phải thu các dịch vụ CTCK cung cấpTrong đó phải thu khó đòi các dịch vụ CTCK cung cấp,20.178.456.888,43.720.116.252,20178456888.0,43720116252.0
4. Phải thu các dịch vụ CTCK cung cấpTrong đó phải thu khó đòi các dịch vụ CTCK cung cấp,"2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chínhTrong đó các khoản phải thu và dự thu khóđời về cổ tức, tiền lãi các tài sản tài chính > 4. Phải thu các dịch vụ CTCK cung cấpTrong đó phải thu khó đòi các dịch vụ CTCK cung cấp",4. Phải thu các dịch vụ CTCK cung cấpTrong đó phải thu khó đòi các dịch vụ CTCK cung cấp,12.087.959.417,12.248.527.916,12087959417.0,12248527916.0
5. Các khoản phải thu khácTrong đó phải thu khác khó đòi,"2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chínhTrong đó các khoản phải thu và dự thu khóđời về cổ tức, tiền lãi các tài sản tài chính > 5. Các khoản phải thu khácTrong đó phải thu khác khó đòi",5. Các khoản phải thu khácTrong đó phải thu khác khó đòi,1.667.446.804,26.007.584.648,1667446804.0,26007584648.0
5. Các khoản phải thu khácTrong đó phải thu khác khó đòi,"2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chínhTrong đó các khoản phải thu và dự thu khóđời về cổ tức, tiền lãi các tài sản tài chính > 5. Các khoản phải thu khácTrong đó phải thu khác khó đòi",5. Các khoản phải thu khácTrong đó phải thu khác khó đòi,521.517.477,521.517.477,521517477.0,521517477.0
6. Dự phòng phải thu khó đòi,"2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chínhTrong đó các khoản phải thu và dự thu khóđời về cổ tức, tiền lãi các tài sản tài chính > 6. Dự phòng phải thu khó đòi",6. Dự phòng phải thu khó đòi,(312.038.740.614),(15.301.892.963),-312038740614.0,-15301892963.0
Tổng cộng,"2. Các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chínhTrong đó các khoản phải thu và dự thu khóđời về cổ tức, tiền lãi các tài sản tài chính > Tổng cộng",Tổng cộng,41.056.591.986,99.336.923.410,41056591986.0,99336923410.0
