row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,Nhà và đất,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Ngày 1 tháng 1 năm 2022,Nguyên giá > Ngày 1 tháng 1 năm 2022,Ngày 1 tháng 1 năm 2022,320.664.842.428,320664842428.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,44.832.559.685,44832559685.0
Mua môi,Nguyên giá > Mua môi,Mua môi,33.446.248.583,33446248583.0
Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,Nguyên giá > Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,11.386.311.102,11386311102.0
Ngày 31 tháng 12 năm 2022,Nguyên giá > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,365.497.402.113,365497402113.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Ngày 1 tháng 1 năm 2022,Giá trị hao mòn lũy kế > Ngày 1 tháng 1 năm 2022,Ngày 1 tháng 1 năm 2022,87.480.523.953,87480523953.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,12.903.972.428,12903972428.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,9.937.153.229,9937153229.0
Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,Giá trị hao mòn lũy kế > Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,2.966.819.199,2966819199.0
Ngày 31 tháng 12 năm 2022,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,100.384.496.381,100384496381.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Ngày 1 tháng 1 năm 2022,Giá trị còn lại > Ngày 1 tháng 1 năm 2022,Ngày 1 tháng 1 năm 2022,233.184.318.475,233184318475.0
Ngày 31 tháng 12 năm 2022,Giá trị còn lại > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,265.112.905.732,265112905732.0
