row_label_raw,row_label_full,Mã số,CHỈ TIỀU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
,,,I. DOANH THU HOẠT ĐỘNG,,,,,,,
01,01,01,1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),,1.969.487.653.110,2.276.493.384.473,,,1969487653110.0,2276493384473.0
01.1,01.1,01.1,1.1. Lãi bán các tài sản tài chính FVTPL,29.1,958.324.536.255,1.328.152.942.742,,291.0,958324536255.0,1328152942742.0
01.2,01.2,01.2,1.2. Chênh lệch tăng về đánh giá lại các tài sản tài chính FVTPL,29.2,98.865.292.061,195.586.470.827,,292.0,98865292061.0,195586470827.0
01.3,01.3,01.3,"1.3. Cổ tức, tiến lãi phát sinh từ tài sản tài chính FVTPL",29.4,837.123.991.593,457.981.838.702,,294.0,837123991593.0,457981838702.0
01.4,01.4,01.4,1.4. Chênh lệch giảm do đánh giá lại phải trả chứng quyền đang lưu hành,29.3,75.173.833.201,294.772.132.202,,293.0,75173833201.0,294772132202.0
02,02,02,2. Lãi từ các khoản đầu tư nằm giữ đến ngày đáo hạn (HTM),29.4,416.576.112.085,719.635.369.828,,294.0,416576112085.0,719635369828.0
03,03,03,3. Lãi từ các khoản cho vay và phải thu,29.4,1.800.882.299.866,1.570.741.031.737,,294.0,1800882299866.0,1570741031737.0
04,04,04,4. Lãi từ tài sản tài chính sẵn sàng để bán (AFS),29.4,2.853.002.528,834.475.000,,294.0,2853002528.0,834475000.0
06,06,06,5. Doanh thu nghiệp vụ môi giới chứng khoán,,1.708.221.510.678,2.522.235.814.481,,,1708221510678.0,2522235814481.0
07,07,07,"6. Doanh thu nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán",,31.657.545.454,28.026.818.182,,,31657545454.0,28026818182.0
08,08,08,7. Doanh thu nghiệp vụ tư vấn đầu tư chứng khoán,,3.622.814.752,3.351.804.438,,,3622814752.0,3351804438.0
09,09,09,8. Doanh thu nghiệp vụ lưu kỳ chứng khoán,,39.748.444.936,36.412.259.762,,,39748444936.0,36412259762.0
10,10,10,9. Doanh thu hoạt động tư vấn tài chính,,45.097.009.759,55.512.965.978,,,45097009759.0,55512965978.0
11,11,11,10. Thu nhập hoạt động khác,31,91.205.508.189,79.233.520.713,,31.0,91205508189.0,79233520713.0
20,20,20,Cộng doanh thu hoạt động,,6.109.351.901.357,7.292.477.444.592,,,6109351901357.0,7292477444592.0
,,,II. CHI PHÍ HOẠT ĐỘNG,,,,,,,
21,21,21,1. Lỗ từ các tài sản tài chính FVTPL,,907.178.462.582,1.329.174.238.670,,,907178462582.0,1329174238670.0
21.1,21.1,21.1,1.1 Lỗ bán các tài sản tài chính FVTPL,29.1,506.961.940.825,994.762.353.951,,291.0,506961940825.0,994762353951.0
21.2,21.2,21.2,1.2 Chênh lệch giảm đánh giá lại các tài sản tài chính FVTPL,29.2,159.200.223.140,235.980.286.440,,292.0,159200223140.0,235980286440.0
21.3,21.3,21.3,1.3 Chi phí giao dịch mua các tài sản tài chính FVTPL,,3.270.957.126,5.790.434.635,,,3270957126.0,5790434635.0
21.4,21.4,21.4,1.4 Chênh lệch tăng do đánh giá lại phải trả chứng quyền đang lưu hành,29.3,237.745.341.491,92.641.163.644,,293.0,237745341491.0,92641163644.0
24,24,24,"2. Hoàn nhập dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi, lỗ suy giảm tài sản tài chính và chi phí đi vay của các khoản cho vay",30,(1.864.347.240),(43.316.292.947),,30.0,-1864347240.0,-43316292947.0
26,26,26,3. Chi phí hoạt động tự doanh,34,67.625.151.248,67.763.766.589,,34.0,67625151248.0,67763766589.0
27,27,27,4. Chi phí nghiệp vụ môi giới chứng khoán,32,1.336.543.002.998,1.493.958.919.195,,32.0,1336543002998.0,1493958919195.0
28,28,28,"5. Chi phí nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán",32,9.520.844.919,17.207.268.283,,32.0,9520844919.0,17207268283.0
29,29,29,6. Chi phí nghiệp vụ tư vấn đầu tư chứng khoán,32,22.983.067.499,20.115.010.683,,32.0,22983067499.0,20115010683.0
30,30,30,7. Chi phí nghiệp vụ lưu kỳ chứng khoán,32,44.053.887.897,41.468.448.535,,32.0,44053887897.0,41468448535.0
31,31,31,8. Chi phí hoạt động tư vấn tài chính,32,47.752.237.314,27.668.812.977,,32.0,47752237314.0,27668812977.0
32,32,32,9. Chi phí hoạt động khác,"32,33",130.004.379.430,132.760.424.724,,32.33,130004379430.0,132760424724.0
40,40,40,Cộng chi phí hoạt động,,2.563.796.686.647,3.086.800.596.709,,,2563796686647.0,3086800596709.0
