row_label_raw,row_label_full,Code,ITEMS,Notes,Current year,Previous year,numeric__ITEMS,numeric__Notes,numeric__Current year,numeric__Previous year
,,,I. CASH FLOWS FROM OPERATING ACTIVITIES,,,,,,,
01,01,01,1. Profit before tax,,"3,352,552,335,651","2,705,310,934,589",,,,
02,02,02,2. Adjustments for:,,"(2,637,402,842,381)","(1,937,437,972,111)",,,,
03,03,03,Depreciation and amortization expense,,"96,391,766,588","93,878,043,122",,,,
04,04,04,Provisions,,"34,732,623,791",-,,,,
05,05,05,Unrealized gain from exchange rate difference,,"(12,820,404,368)","(68,755,751,899)",,,,
06,06,06,Interest expenses,,"1,505,764,783,295","1,570,439,043,267",,,,
07,07,07,Gain from investment activities,,"(129,479,216,398)","(182,681,944,709)",,,,
08,08,08,Accrued interest income,,"(4,131,992,395,289)","(3,350,317,361,892)",,,,
10,10,10,3. Increase in non-monetary expenses,,"639,785,083,703","368,664,018,708",,,,
11,11,11,Loss from revaluation of financial assets at FVTPL and loss for revaluation of covered warrants payables,,"637,712,530,567","263,182,276,848",,,,
13,13,13,Loss of provision from impairment of loans,,"3,770,736","8,537,006",,,,
14,14,14,Loss on recognition of differences assessed at fair value of AFS financial assets when reclassifying,,-,"25,722,584,854",,,,
17,17,17,Other loss,,"2,068,782,400","79,750,620,000",,,,
18,18,18,4. Decrease in non-monetary income,,"(532,101,773,232)","(262,641,332,149)",,,,
19,19,19,Gain from revaluation of financial assets at FVTPL and gain from revaluation of covered warrants payables,,"(515,004,993,232)","(261,793,257,398)",,,,
20,20,20,Gain on recognition of differences assessed at fair value of AFS financial assets when reclassifying,,-,"(848,074,751)",,,,
21,21,21,Other gains,,"(17,096,780,000)",-,,,,
30,30,30,5. Operating profit before changes in working capital,,"822,832,803,741","873,895,649,037",,,,
31,31,31,Decrease/(increase) in financial assets at FVTPL,,"1,582,544,113,229","(13,177,413,834,972)",,,,
32,32,32,Decrease/(increase) in HTM investments,,"1,296,874,584,112","(1,239,585,358,684)",,,,
33,33,33,Increase in loans,,"(6,864,868,689,895)","(4,081,466,691,099)",,,,
34,34,34,Increase in AFS financial assets,,"(71,000,200,003)","(371,080,443,417)",,,,
35,35,35,Increase in receivables from disposal of financial assets,,"(239,769,234,000)","(27,068,308,000)",,,,
37,37,37,Increase in receivables from services provided by the Company,,"(8,572,887,675)","(1,910,729,183)",,,,
39,39,39,(Increase)/decrease in other receivables,,"(805,541,191,903)","1,374,549,130,593",,,,
40,40,40,(Increase)/decrease in other assets,,"(30,950,952,252)","2,073,810,021",,,,
41,41,41,(Decrease)/increase in payable expenses (excluding interest expense),,"(18,418,086,015)","11,440,209,335",,,,
42,42,42,Decrease in prepaid expenses,,"17,110,399,185","30,798,880,384",,,,
43,43,43,Current income tax paid,,"(828,867,487,847)","(275,771,172,394)",,,,
44,44,44,Interest expenses paid,,"(1,498,915,329,918)","(1,567,902,554,040)",,,,
45,45,45,(Decrease)/increase in trade payables,,"(831,953,279,820)","616,196,758,495",,,,
46,46,46,(Decrease)/increase in welfare benefits,,"(8,523,606)","31,794,106",,,,
47,47,47,Increase in statutory obligations (excluding CIT paid),,"(4,289,076,124)","(11,638,758,332)",,,,
48,48,48,Increase in payables to employees,,"(21,584,411,888)","(11,793,003,433)",,,,
50,50,50,(Decrease)/increase in other payables and covered warrants payables,,"(838,246,010,594)","164,739,427,780",,,,
51,51,51,Other receipts from operating activities,,"4,157,458,765,036","3,178,092,217,573",,,,
,,,- Interest received,,"4,157,440,640,036","3,177,851,207,627",,,,
,,,- Other receipts,,"18,125,000","241,009,946",,,,
52,52,52,Other payments for operating activities,,"(97,301,901,401)","(73,735,428,497)",,,,
60,60,60,Net cash flows used in operating activities,,"(4,283,466,597,638)","(14,587,548,404,727)",,,,
