row_label_raw,row_label_full,col_0,Ending balance,Ending balance_1,Beginning balance,Beginning balance_1,numeric__Ending balance,numeric__Ending balance_1,numeric__Beginning balance,numeric__Beginning balance_1
,,,Fair value,Cost,Fair value,Cost,,,,
Listed shares and other listed securities,Listed shares and other listed securities,Listed shares and other listed securities,"1,368,632,430,067","1,362,727,463,664","1,014,775,901,073","1,006,797,033,100",,,,
VPB,VPB,VPB,"824,439,412,840","810,610,982,400","384,885,101,433","385,288,704,000",,,,
FPT,FPT,FPT,"53,253,124,050","56,449,857,500","92,036,132,250","89,066,729,300",,,,
MWG,MWG,MWG,"53,845,954,822","53,905,700,000","32,032,879,299","32,117,419,600",,,,
HPG,HPG,HPG,"49,303,194,457","48,783,651,150","56,113,356,069","57,405,946,000",,,,
Other listed shares and securities,Other listed shares and securities,Other listed shares and securities,"387,790,743,898","392,977,272,614","449,708,432,022","442,918,234,200",,,,
Listed shares used as hedging for covered warrants,Listed shares used as hedging for covered warrants,Listed shares used as hedging for covered warrants,"968,809,795,708","994,496,681,450","493,864,555,823","493,694,236,100",,,,
FPT,FPT,FPT,"342,455,410,919","363,012,677,500","24,264,110,048","23,481,266,200",,,,
HPG,HPG,HPG,"119,676,905,690","118,415,783,850","184,674,544,091","188,928,584,000",,,,
MBB,MBB,MBB,"128,052,299,746","131,098,881,300","20,159,079,788","20,192,355,000",,,,
MWG,MWG,MWG,"187,397,571,637","187,605,500,000","21,475,702,313","21,532,380,400",,,,
Other listed shares,Other listed shares,Other listed shares,"191,227,607,716","194,363,838,800","243,291,119,583","239,559,650,500",,,,
Unlisted shares and fund certificates,Unlisted shares and fund certificates,Unlisted shares and fund certificates,"69,344,160,610","49,487,282,681","263,186,085,677","251,045,110,822",,,,
Listed bonds (1),Listed bonds (1),Listed bonds (1),"6,129,049,191,192","5,932,922,821,241","1,394,942,311,067","1,309,402,974,100",,,,
Unlisted bonds (2),Unlisted bonds (2),Unlisted bonds (2),"9,016,312,175,799","9,016,312,175,799","10,680,989,784,540","10,680,989,784,540",,,,
Certificates of deposit (3),Certificates of deposit (3),Certificates of deposit (3),"24,731,712,227,048","24,731,712,227,048","29,990,192,789,498","29,990,192,789,498",,,,
Total,Total,Total,"42,283,859,980,424","42,087,658,651,883","43,837,951,427,678","43,732,121,928,160",,,,
