row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2025,Quá hạn (Đã bao gồm số dư đã trích lập dư phòng) > Ngày 31 tháng 12 năm 2025,Không kỳ hạn > Ngày 31 tháng 12 năm 2025,Đến 01 năm > Ngày 31 tháng 12 năm 2025,Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2025,Trên 05 năm > Ngày 31 tháng 12 năm 2025,Tổng cộng > Ngày 31 tháng 12 năm 2025,numeric__Quá hạn (Đã bao gồm số dư đã trích lập dư phòng) > Ngày 31 tháng 12 năm 2025,numeric__Không kỳ hạn > Ngày 31 tháng 12 năm 2025,numeric__Đến 01 năm > Ngày 31 tháng 12 năm 2025,numeric__Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2025,numeric__Trên 05 năm > Ngày 31 tháng 12 năm 2025,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2025
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,1.174.260.187.483,2.472.232.575.635,-,-,3.646.492.763.118,,1174260187483.0,2472232575635.0,,,3646492763118.0
Tài sản tài chính,TÀI SẢN > Tài sản tài chính,Tài sản tài chính,36.107.689,39.180.855.535.842,43.847.187.774.611,-,3.687.397.938.257,86.715.477.356.399,36107689.0,39180855535842.0,43847187774611.0,,3687397938257.0,86715477356399.0
Tài sản tài chính ghi nhận thông qua lãi/lỗ,TÀI SẢN > Tài sản tài chính ghi nhận thông qua lãi/lỗ,Tài sản tài chính ghi nhận thông qua lãi/lỗ,-,38.257.656.392.970,-,-,-,38.257.656.392.970,,38257656392970.0,,,,38257656392970.0
Giữ đến ngày đáo hạn,TÀI SẢN > Giữ đến ngày đáo hạn,Giữ đến ngày đáo hạn,-,-,5.230.991.865.654,-,2.971.910.059.220,8.202.901.924.874,,,5230991865654.0,,2971910059220.0,8202901924874.0
Các khoản cho vay,TÀI SẢN > Các khoản cho vay,Các khoản cho vay,36.107.689,323.827.320.425,38.616.195.908.957,-,-,38.940.059.337.071,36107689.0,323827320425.0,38616195908957.0,,,38940059337071.0
Sẵn sàng để bán,TÀI SẢN > Sẵn sàng để bán,Sẵn sàng để bán,-,599.371.822.447,-,-,-,599.371.822.447,,599371822447.0,,,,599371822447.0
Gớp vốn đầu tư dài hạn,TÀI SẢN > Gớp vốn đầu tư dài hạn,Gớp vốn đầu tư dài hạn,-,-,-,-,715.487.879.037,715.487.879.037,,,,,715487879037.0,715487879037.0
Tài sản khác,TÀI SẢN > Tài sản khác,Tài sản khác,193.099.089.645,484.083.979.846,552.116.545.650,659.207.907.393,289.578.551.930,2.178.086.074.464,193099089645.0,484083979846.0,552116545650.0,659207907393.0,289578551930.0,2178086074464.0
"Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN > Các khoản cầm cố, ký quỹ, ký cược","Các khoản cầm cố, ký quỹ, ký cược",-,30.124.810.956,-,-,-,30.124.810.956,,30124810956.0,,,,30124810956.0
Phải thu khác,TÀI SẢN > Phải thu khác,Phải thu khác,193.099.089.645,385.420.876.973,552.116.545.650,-,-,1.130.636.512.268,193099089645.0,385420876973.0,552116545650.0,,,1130636512268.0
Tài sản khác,TÀI SẢN > Tài sản khác,Tài sản khác,-,68.538.291.917,-,-,-,68.538.291.917,,68538291917.0,,,,68538291917.0
