row_label_raw,row_label_full,col_0,Vốn điều lệTriệu đồng,Vốn đầu tưXDCB vàmua sắmTSCDTriệu đồng,Thặng dưvốn cổphầnTriệu đồng,Cổ phiếuquỹTriệu đồng,VốnkhácTriệu đồng,Quỹ đàutư pháttriểnTriệu đồng,Quỹdự phòngtài chínhTriệu đồng,Quỹ dự trữbố sungvốn điều lệTriệu đồng,Chênhlệchtỷ giáhối đoaiTriệu đồng,Lợi nhuậnchưaphân phốiTriệu đồng,Lợi íchcổ đôngkhôngkiềm soátTriệu đồng,Tổng cộngTriệu đồng,numeric__Vốn điều lệTriệu đồng,numeric__Vốn đầu tưXDCB vàmua sắmTSCDTriệu đồng,numeric__Thặng dưvốn cổphầnTriệu đồng,numeric__Cổ phiếuquỹTriệu đồng,numeric__VốnkhácTriệu đồng,numeric__Quỹ đàutư pháttriểnTriệu đồng,numeric__Quỹdự phòngtài chínhTriệu đồng,numeric__Quỹ dự trữbố sungvốn điều lệTriệu đồng,numeric__Chênhlệchtỷ giáhối đoaiTriệu đồng,numeric__Lợi nhuậnchưaphân phốiTriệu đồng,numeric__Lợi íchcổ đôngkhôngkiềm soátTriệu đồng,numeric__Tổng cộngTriệu đồng
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,12.425.116,795,1.671.693,(1.506.878),153,96.393,1.108.552,734.017,104.270,3.429.086,4,18.063.201,12425116.0,795.0,1671693.0,-1506878.0,153.0,96393.0,1108552.0,734017.0,104270.0,3429086.0,4.0,18063201.0
Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,-,-,-,-,-,-,-,-,-,647.919,-,647.919,,,,,,,,,,647919.0,,647919.0
Tăng từ sáp nhậpNgân hàng TMCPPhương Nam,Tăng từ sáp nhậpNgân hàng TMCPPhương Nam,Tăng từ sáp nhậpNgân hàng TMCPPhương Nam,4.000.000,326,41.309,(750.911),500,243,127.707,7.779,-,105.795,-,3.532.748,4000000.0,326.0,41309.0,-750911.0,500.0,243.0,127707.0,7779.0,,105795.0,,3532748.0
Tăng vốn từ chiacổ phiếu thường,Tăng vốn từ chiacổ phiếu thường,Tăng vốn từ chiacổ phiếu thường,142.249,-,(1.649.127),1.506.878,-,-,-,-,-,-,-,-,142249.0,,-1649127.0,1506878.0,,,,,,,,
Tăng vốn từ chia cổtức bằng cổ phiếu,Tăng vốn từ chia cổtức bằng cổ phiếu,Tăng vốn từ chia cổtức bằng cổ phiếu,2.284.792,-,-,-,-,-,-,-,-,(2.284.792),-,-,2284792.0,,,,,,,,,-2284792.0,,
Thanh toán cổ phiếu lẻ,Thanh toán cổ phiếu lẻ,Thanh toán cổ phiếu lẻ,-,-,(263),-,-,-,-,-,-,(231),-,(494),,,-263.0,,,,,,,-231.0,,-494.0
Trích lập các quỹ chonăm trước,Trích lập các quỹ chonăm trước,Trích lập các quỹ chonăm trước,-,-,-,-,-,1.625,226.624,116.956,-,(345.205),-,-,,,,,,1625.0,226624.0,116956.0,,-345205.0,,
Sử dụng quỹtrong năm,Sử dụng quỹtrong năm,Sử dụng quỹtrong năm,-,-,-,-,-,-,(63),-,-,-,-,(63),,,,,,,-63.0,,,,,-63.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,-,-,-,19.863,(19.863),-,-,-,-,-,,,,,,19863.0,-19863.0,,,,,
Chênh lệch tỷ giá dochuyển đổi chi nhánhở Lào,Chênh lệch tỷ giá dochuyển đổi chi nhánhở Lào,Chênh lệch tỷ giá dochuyển đổi chi nhánhở Lào,-,-,-,-,-,-,-,-,124.807,1.038,-,125.845,,,,,,,,,124807.0,1038.0,,125845.0
"Trích lập quỹ khenthường, phúc lợi(Thuyết minh số 20)","Trích lập quỹ khenthường, phúc lợi(Thuyết minh số 20)","Trích lập quỹ khenthường, phúc lợi(Thuyết minh số 20)",-,-,-,-,-,-,-,-,-,(288.043),-,(288.043),,,,,,,,,,-288043.0,,-288043.0
Giải thể Công ty con(Công ty TNHH SBJCampuchia),Giải thể Công ty con(Công ty TNHH SBJCampuchia),Giải thể Công ty con(Công ty TNHH SBJCampuchia),-,-,-,-,-,-,-,-,-,-,(4),(4),,,,,,,,,,,-4.0,-4.0
Khác,Khác,Khác,-,-,-,-,-,-,-,-,-,(614),-,(614),,,,,,,,,,-614.0,,-614.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,18.852.157,1.121,63.612,(750.911),653,118.124,1.442.957,858.752,229.077,1.264.953,-,22.080.495,18852157.0,1121.0,63612.0,-750911.0,653.0,118124.0,1442957.0,858752.0,229077.0,1264953.0,,22080495.0
