row_label_raw,row_label_full,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2015,Tổng giá trị cửa hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2015,Giá trị ghi số kế toán ròng (theo tỷ giá cuối năm) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2015,Giá trị ghi số kế toán ròng (theo tỷ giá cuối năm) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2015,numeric__Tổng giá trị cửa hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2015,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá cuối năm) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2015,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá cuối năm) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2015
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,838.270,15.100,-,838270.0,15100.0,
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,4.535.596,-,37.953,4535596.0,,37953.0
,,,5.373.866,15.100,37.953,5373866.0,15100.0,37953.0
Số thuần,Số thuần,Số thuần,,,22.853,,,22853.0
Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2014,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2014,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2014,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2014,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2014,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2014,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2014 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,1.149.213,-,13.730,1149213.0,,13730.0
Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2014 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,15.357.033,25.881,-,15357033.0,25881.0,
,,,16.506.246,25.881,13.730,16506246.0,25881.0,13730.0
Số thuần,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2014 > Số thuần,Số thuần,,12.151,,,12151.0,
Giao dịch quyền chọn,Giao dịch quyền chọn,Giao dịch quyền chọn,Giao dịch quyền chọn,Giao dịch quyền chọn,Giao dịch quyền chọn,,,
Mua quyền chọn,Giao dịch quyền chọn > Mua quyền chọn,Mua quyền chọn,1.029.032,-,15.150,1029032.0,,15150.0
Bán quyền chọn,Giao dịch quyền chọn > Bán quyền chọn,Bán quyền chọn,1.269.251,20.061,-,1269251.0,20061.0,
,,,2.298.283,20.061,15.150,2298283.0,20061.0,15150.0
Số thuần,Giao dịch quyền chọn > Số thuần,Số thuần,,,(4.911),,,-4911.0
