row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2016Đồng,Ngày 31 tháng 12năm 2015Đồng,numeric__Ngày 31 tháng 12năm 2016Đồng,numeric__Ngày 31 tháng 12năm 2015Đồng
Vàng SJC,Vàng SJC,Vàng SJC,3.550.000,3.270.000,3550000.0,3270000.0
Vàng SBJ,Vàng SBJ,Vàng SBJ,3.100.000,3.270.000,3100000.0,3270000.0
USD,USD,USD,22.159,21.890,22159.0,21890.0
EUR,EUR,EUR,23.917,24.574,23917.0,24574.0
GBP,GBP,GBP,27.874,33.311,27874.0,33311.0
CHF,CHF,CHF,22.258,22.522,22258.0,22522.0
JPY,JPY,JPY,"193,64","186,52",193.64,186.52
SGD,SGD,SGD,15.676,15.819,15676.0,15819.0
CAD,CAD,CAD,16.807,16.095,16807.0,16095.0
AUD,AUD,AUD,16.320,16.311,16320.0,16311.0
LAK,LAK,LAK,"2,806","2,773",2.806,2.773
THB,THB,THB,610,597,610.0,597.0
NZD,NZD,NZD,15.629,15.201,15629.0,15201.0
