row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANHTổng lợi nhuận (lỗ) kế toán trước thuếĐiều chỉnh cho các khoản:Khẩu hao và hao mòn(Hoàn nhập dự phòng) dự phòngLỗ (lãi) chênh lệch tỷ giá hồi đoaido đánh giá lại các khoản mụctiền tệ có gốc ngoại tệ(Lãi) lỗ từ hoạt động đầu tưChi phí lãi vay,"Thuyết minh > 12, 1325",Năm nay > 35.155.935.98830.086.457.854(8.192.020.225)515.264.691(31.320.749.447)127.266.071.877,Số đầu năm (Đã điều chỉnh lại - Thuyết minh số 33) > (525.765.270.695)11.563.364.3398.731.024.518(12.935.192.844)40.746.044.058208.857.085.815,numeric__CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANHTổng lợi nhuận (lỗ) kế toán trước thuếĐiều chỉnh cho các khoản:Khẩu hao và hao mòn(Hoàn nhập dự phòng) dự phòngLỗ (lãi) chênh lệch tỷ giá hồi đoaido đánh giá lại các khoản mụctiền tệ có gốc ngoại tệ(Lãi) lỗ từ hoạt động đầu tưChi phí lãi vay,"numeric__Thuyết minh > 12, 1325",numeric__Năm nay > 35.155.935.98830.086.457.854(8.192.020.225)515.264.691(31.320.749.447)127.266.071.877,numeric__Số đầu năm (Đã điều chỉnh lại - Thuyết minh số 33) > (525.765.270.695)11.563.364.3398.731.024.518(12.935.192.844)40.746.044.058208.857.085.815
08,08,08,Lợi nhuận (lỗ) từ hoạt động kinh doanh trước thay đối vốn lưu động(Tăng) giảm các khoản phải thuGiảm (tăng) hàng tồn khoTăng (giảm) các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệpđã nộpTiền chi khác cho hoạt độngkinh doanh,,153.510.960.738(629.159.438.799)174.110.652.157403.798.028.7669.122.109.781(50.657.765.715)-(97.664.321),(268.802.944.809)254.330.110.656(384.279.026.621)(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),,,,
09,09,09,Lợi nhuận (lỗ) từ hoạt động kinh doanh trước thay đối vốn lưu động(Tăng) giảm các khoản phải thuGiảm (tăng) hàng tồn khoTăng (giảm) các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệpđã nộpTiền chi khác cho hoạt độngkinh doanh,,153.510.960.738(629.159.438.799)174.110.652.157403.798.028.7669.122.109.781(50.657.765.715)-(97.664.321),(268.802.944.809)254.330.110.656(384.279.026.621)(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),,,,
10,10,10,Lợi nhuận (lỗ) từ hoạt động kinh doanh trước thay đối vốn lưu động(Tăng) giảm các khoản phải thuGiảm (tăng) hàng tồn khoTăng (giảm) các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệpđã nộpTiền chi khác cho hoạt độngkinh doanh,,153.510.960.738(629.159.438.799)174.110.652.157403.798.028.7669.122.109.781(50.657.765.715)-(97.664.321),(268.802.944.809)254.330.110.656(384.279.026.621)(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),,,,
11,11,11,Lợi nhuận (lỗ) từ hoạt động kinh doanh trước thay đối vốn lưu động(Tăng) giảm các khoản phải thuGiảm (tăng) hàng tồn khoTăng (giảm) các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệpđã nộpTiền chi khác cho hoạt độngkinh doanh,,153.510.960.738(629.159.438.799)174.110.652.157403.798.028.7669.122.109.781(50.657.765.715)-(97.664.321),(268.802.944.809)254.330.110.656(384.279.026.621)(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),,,,
12,12,12,Lợi nhuận (lỗ) từ hoạt động kinh doanh trước thay đối vốn lưu động(Tăng) giảm các khoản phải thuGiảm (tăng) hàng tồn khoTăng (giảm) các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệpđã nộpTiền chi khác cho hoạt độngkinh doanh,,153.510.960.738(629.159.438.799)174.110.652.157403.798.028.7669.122.109.781(50.657.765.715)-(97.664.321),(268.802.944.809)254.330.110.656(384.279.026.621)(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),,,,
14,14,14,Lợi nhuận (lỗ) từ hoạt động kinh doanh trước thay đối vốn lưu động(Tăng) giảm các khoản phải thuGiảm (tăng) hàng tồn khoTăng (giảm) các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệpđã nộpTiền chi khác cho hoạt độngkinh doanh,,153.510.960.738(629.159.438.799)174.110.652.157403.798.028.7669.122.109.781(50.657.765.715)-(97.664.321),(268.802.944.809)254.330.110.656(384.279.026.621)(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),,,,
15,15,15,Lợi nhuận (lỗ) từ hoạt động kinh doanh trước thay đối vốn lưu động(Tăng) giảm các khoản phải thuGiảm (tăng) hàng tồn khoTăng (giảm) các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệpđã nộpTiền chi khác cho hoạt độngkinh doanh,,153.510.960.738(629.159.438.799)174.110.652.157403.798.028.7669.122.109.781(50.657.765.715)-(97.664.321),(268.802.944.809)254.330.110.656(384.279.026.621)(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),,,,
17,17,17,Lợi nhuận (lỗ) từ hoạt động kinh doanh trước thay đối vốn lưu động(Tăng) giảm các khoản phải thuGiảm (tăng) hàng tồn khoTăng (giảm) các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệpđã nộpTiền chi khác cho hoạt độngkinh doanh,,153.510.960.738(629.159.438.799)174.110.652.157403.798.028.7669.122.109.781(50.657.765.715)-(97.664.321),(268.802.944.809)254.330.110.656(384.279.026.621)(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),,,,
20,17 > 20,20,Lưu chuyển tiền thuần từ (sử dụng vào) hoạt động kinh doanh,,60.626.882.607,(810.398.205.842),,,60626882607.0,-810398205842.0
"II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯTiền chi để mua sắm, xây dựng tài sản cố địnhTiền thu do thanh lý tài sản cố địnhTiền chi cho vay và gửi ngân hàng có kỳ hạnThu hồi tiền gửi ngân hàng có kỳ hạn và thu hồi tiền cho vayTiền thu từ nhận sáp nhập các công ty con và đầu tư góp vốn vào đơn vị khácTiền thu lãi tiền gửi, cho vay và cổ tức nhận được","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯTiền chi để mua sắm, xây dựng tài sản cố địnhTiền thu do thanh lý tài sản cố địnhTiền chi cho vay và gửi ngân hàng có kỳ hạnThu hồi tiền gửi ngân hàng có kỳ hạn và thu hồi tiền cho vayTiền thu từ nhận sáp nhập các công ty con và đầu tư góp vốn vào đơn vị khácTiền thu lãi tiền gửi, cho vay và cổ tức nhận được","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯTiền chi để mua sắm, xây dựng tài sản cố địnhTiền thu do thanh lý tài sản cố địnhTiền chi cho vay và gửi ngân hàng có kỳ hạnThu hồi tiền gửi ngân hàng có kỳ hạn và thu hồi tiền cho vayTiền thu từ nhận sáp nhập các công ty con và đầu tư góp vốn vào đơn vị khácTiền thu lãi tiền gửi, cho vay và cổ tức nhận được",,,(14.659.757.888)355.409.965(215.683.620.860)29.601.440.78411.314.287.0004.079.270.803,(68.238.203.736)1.179.084.119(137.431.280.415)189.285.314.260523.132.66923.211.507.042,,,,
