row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Trường Thành Xanh,Phải trả người bán ngắn hạn > Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty con,Mua hàng,22.281.570.117,22.136.910.117,,,22281570117.0,22136910117.0
Công ty TNHH Trồng rừng Trường Thành OJI,Phải trả người bán ngắn hạn > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Mua hàng,6.347.368.342,7.538.515.055,,,6347368342.0,7538515055.0
Công ty TNHH Kỹ nghệ Gỗ Trường Thành,Phải trả người bán ngắn hạn > Công ty TNHH Kỹ nghệ Gỗ Trường Thành,Công ty TNHH Kỹ nghệ Gỗ Trường Thành,Công ty con,Mua hàng,4.796.256.750,4.797.491.750,,,4796256750.0,4797491750.0
Công ty Cổ phần Bao bì Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Công ty liên kết,Mua hàng,1.830.935.076,2.156.982.086,,,1830935076.0,2156982086.0
Công ty TNHH Địa ốc Hưng Lợi,Phải trả người bán ngắn hạn > Công ty TNHH Địa ốc Hưng Lợi,Công ty TNHH Địa ốc Hưng Lợi,Bên liên quan,Mua dịch vụ,585.390.296,-,,,585390296.0,
Công ty Cổ phần Lâm Nghiệp Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty con,Mua hàng,149.571.000,-,,,149571000.0,
Công ty Cổ phần Nông Lâm Công Nghiệp Trường An,Phải trả người bán ngắn hạn > Công ty Cổ phần Nông Lâm Công Nghiệp Trường An,Công ty Cổ phần Nông Lâm Công Nghiệp Trường An,Công ty con,Mua hàng,19.088.175,-,,,19088175.0,
Công ty Cổ phần Chế biến Gỗ Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty con,Mua hàng,-,2.090.306.828,,,,2090306828.0
Công ty Cổ phần Công nghiệp Gỗ Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Công nghiệp Gỗ Trường Thành,Công ty Cổ phần Công nghiệp Gỗ Trường Thành,Công ty con,Mua hàng,-,2.731.302.077,,,,2731302077.0
Công ty Cổ phần Thương mại Xuất nhập khẩu Trường Thành Đắk Nông,Phải trả người bán ngắn hạn > Công ty Cổ phần Thương mại Xuất nhập khẩu Trường Thành Đắk Nông,Công ty Cổ phần Thương mại Xuất nhập khẩu Trường Thành Đắk Nông,Công ty con,Mua hàng,-,29.851.292.094,,,,29851292094.0
Các bên liên quan khác,Phải trả người bán ngắn hạn > Các bên liên quan khác,Các bên liên quan khác,Bên liên quan,"Mua hàng, dịch vụ",-,792.353.408,,,,792353408.0
,,,,,36.010.179.756,72.095.153.415,,,36010179756.0,72095153415.0
