row_label_raw,row_label_full,col_0,Quyền sử dụngđất lâu dài,Quyền sử dụngđất có thời hạn,Phần mềmmáy tính,Tài sản khác,VNDTổng cộng,numeric__Quyền sử dụngđất lâu dài,numeric__Quyền sử dụngđất có thời hạn,numeric__Phần mềmmáy tính,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.458.632.000,843.700.000,10.782.163.536,17.730.256.880,30.814.752.416,1458632000.0,843700000.0,10782163536.0,17730256880.0,30814752416.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,-,12.010.225.000,-,12.010.225.000,,,12010225000.0,,12010225000.0
Tăng do mua công ty con,Nguyên giá: > Tăng do mua công ty con,Tăng do mua công ty con,-,87.976.003.057,60.697.400,-,88.036.700.457,,87976003057.0,60697400.0,,88036700457.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.458.632.000,88.819.703.057,22.853.085.936,17.730.256.880,130.861.677.873,1458632000.0,88819703057.0,22853085936.0,17730256880.0,130861677873.0
Trong đó:Đã hao mòn hết,Nguyên giá: > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,-,-,855.790.607,157.259.011,1.013.049.618,,,855790607.0,157259011.0,1013049618.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(553.450.000),(3.612.427.934),(9.838.802.305),(14.004.680.239),,-553450000.0,-3612427934.0,-9838802305.0,-14004680239.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(1.593.381.367),(1.630.132.195),(875.000.004),(4.098.513.566),,-1593381367.0,-1630132195.0,-875000004.0,-4098513566.0
Tăng do mua công ty con,Giá trị hao mòn lũy kế: > Tăng do mua công ty con,Tăng do mua công ty con,-,-,(60.697.400),-,(60.697.400),,,-60697400.0,,-60697400.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(2.146.831.367),(5.303.257.529),(10.713.802.309),(18.163.891.205),,-2146831367.0,-5303257529.0,-10713802309.0,-18163891205.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.458.632.000,290.250.000,7.169.735.602,7.891.454.575,16.810.072.177,1458632000.0,290250000.0,7169735602.0,7891454575.0,16810072177.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.458.632.000,86.672.871.690,17.549.828.407,7.016.454.571,112.697.786.668,1458632000.0,86672871690.0,17549828407.0,7016454571.0,112697786668.0
