row_label_raw,row_label_full,col_0,Chế biến gỗ,Trồng rừng,Khác,Loại trừ,VND Tổng cộng,numeric__Chế biến gỗ,numeric__Trồng rừng,numeric__Khác,numeric__Loại trừ,numeric__VND Tổng cộng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,982.684.210.348,40.265.350.000,22.000.000.000,-,1.044.949.560.348,982684210348.0,40265350000.0,22000000000.0,,1044949560348.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu > Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,-,2.789.450.000,-,(2.789.450.000),-,,2789450000.0,,-2789450000.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,982.684.210.348,43.054.800.000,22.000.000.000,(2.789.450.000),1.044.949.560.348,982684210348.0,43054800000.0,22000000000.0,-2789450000.0,1044949560348.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lỗ từ hoạt động kinh doanh của bộ phận,Kết quả > Lỗ từ hoạt động kinh doanh của bộ phận,Lỗ từ hoạt động kinh doanh của bộ phận,(835.656.329.737),(16.611.948.079),(11.828.852.160),-,(864.097.129.976),-835656329737.0,-16611948079.0,-11828852160.0,,-864097129976.0
Doanh thu hoạt động tài chính,Kết quả > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,17.572.363.899,,,,,17572363899.0
Chi phí tài chính,Kết quả > Chi phí tài chính,Chi phí tài chính,,,,,(106.110.060.483),,,,,-106110060483.0
Thu nhập khác,Kết quả > Thu nhập khác,Thu nhập khác,,,,,156.648.110.311,,,,,156648110311.0
Chi phí khác,Kết quả > Chi phí khác,Chi phí khác,,,,,(11.171.941.878),,,,,-11171941878.0
Phần lãi trong công ty liên doanh và liên kết,Kết quả > Phần lãi trong công ty liên doanh và liên kết,Phần lãi trong công ty liên doanh và liên kết,,,,,2.458.445.101,,,,,2458445101.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,-,,,,,
Lỗ sau thuế,Chi phí thuế thu nhập doanh nghiệp > Lỗ sau thuế,Lỗ sau thuế,,,,,(804.700.213.026),,,,,-804700213026.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,2.514.782.268.250,265.403.175.297,-,-,2.780.185.443.547,2514782268250.0,265403175297.0,,,2780185443547.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,,2.780.185.443.547,,,,,2780185443547.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.701.847.677.532,58.624.679.251,-,-,2.760.472.356.783,2701847677532.0,58624679251.0,,,2760472356783.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,,2.760.472.356.783,,,,,2760472356783.0
