row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,Năm 2022 > VND,Năm 2021 > VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Năm 2022 > VND,numeric__Năm 2021 > VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,22,5.797.025.825.345,5.479.827.988.085,,22.0,5797025825345.0,5479827988085.0
2,2,2,Chi phí lãi và các chi phí tương tự,23,(4.307.488.902.233),(3.928.520.601.440),,23.0,-4307488902233.0,-3928520601440.0
I,I,I,Thu nhập lãi thuần,,1.489.536.923.112,1.551.307.386.645,,,1489536923112.0,1551307386645.0
3,3,3,Thu nhập từ hoạt động dịch vụ,,105.667.054.937,72.759.885.798,,,105667054937.0,72759885798.0
4,4,4,Chi phí hoạt động dịch vụ,,(32.868.075.170),(31.944.976.214),,,-32868075170.0,-31944976214.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,24,72.798.979.767,40.814.909.584,,24.0,72798979767.0,40814909584.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hồi,25,9.723.645.239,10.215.341.395,,25.0,9723645239.0,10215341395.0
IV,IV,IV,Lãi/(Lỗ) thuần từ mua bán chứng khoán kinh doanh,26,(181.588.855),63.737.986.528,,26.0,-181588855.0,63737986528.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,27,42.272.592.637,55.210.344.525,,27.0,42272592637.0,55210344525.0
5,5,5,Thu nhập từ hoạt động khác,,364.793.373.036,256.068.747.085,,,364793373036.0,256068747085.0
6,6,6,Chi phí hoạt động khác,,(6.776.713.663),(6.148.605.475),,,-6776713663.0,-6148605475.0
VI,VI,VI,Lãi thuần từ hoạt động khác,28,358.016.659.373,249.920.141.610,,28.0,358016659373.0,249920141610.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",29,13.581.765.912,2.649.145.026,,29.0,13581765912.0,2649145026.0
VIII,VIII,VIII,Chi phí hoạt động,30,(816.418.234.131),(661.502.856.039),,30.0,-816418234131.0,-661502856039.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,1.169.330.743.054,1.312.352.399.274,,,1169330743054.0,1312352399274.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,31,(61.492.728.801),(472.641.071.655),,31.0,-61492728801.0,-472641071655.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,1.107.838.014.253,839.711.327.619,,,1107838014253.0,839711327619.0
7,7,7,Chi phí thuế TNDN hiện hành,32,(219.502.190.550),(177.821.703.537),,32.0,-219502190550.0,-177821703537.0
8,8,8,Chi phí thuế TNDN hoãn lại,33,2.292.005.959,(8.000.000.000),,33.0,2292005959.0,-8000000000.0
XII,XII,XII,Chi phí thuế thu nhập doanh nghiệp,,(217.210.184.591),(185.821.703.537),,,-217210184591.0,-185821703537.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,890.627.829.662,653.889.624.082,,,890627829662.0,653889624082.0
XV,XV,XV,Lãi cơ bản trên cổ phiếu (VND),21.2,1.649,1.211,,212.0,1649.0,1211.0
