row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,2018Triệu VND,2017Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__2018Triệu VND,numeric__2017Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
01,01,01,Mua sắm tài sản cố định,,(1.103.091),(1.007.468),,,-1103091.0,-1007468.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,4.113,5.314,,,4113.0,5314.0
03,03,03,"Tiền chi cho thanh lý, nhượng bán tài sản cố định",,(1.692),(2.396),,,-1692.0,-2396.0
07,07,07,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",,(1.820.400),(30.000),,,-1820400.0,-30000.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,2.628.038,393.340,,,2628038.0,393340.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoảnđầu tư, góp vốn dài hạn",,165.434,160.662,,,165434.0,160662.0
II,II,II,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(127.598),(480.548),,,-127598.0,-480548.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
04,04,04,Cổ tức đã trả cho cổ đông,,(2.878.215),(2.878.215),,,-2878215.0,-2878215.0
III,III,III,Lưu chuyển tiền thuần từ hoạt động tài chính,,(2.878.215),(2.878.215),,,-2878215.0,-2878215.0
IV,IV,IV,Lưu chuyển tiền thuần trong năm,,(65.479.610),151.016.619,,,-65479610.0,151016619.0
V,V,V,Tiền và các khoản tương đương tiềntại thời điểm đầu năm,,307.436.864,156.420.245,,,307436864.0,156420245.0
VII,VII,VII,Tiền và các khoản tương đương tiềntại thời điểm cuối năm,35,241.957.254,307.436.864,,35.0,241957254.0,307436864.0
