row_label_raw,row_label_full,col_0,31/12/2019Triệu VND,31/12/2018Triệu VND,numeric__31/12/2019Triệu VND,numeric__31/12/2018Triệu VND
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,,
Tiền gửi không kỳ hạn bằng VND,Tiền gửi tại các tổ chức tín dụng khác > Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,3.138,747,3138.0,747.0
Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi tại các tổ chức tín dụng khác > Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,40.123.462,42.137.438,40123462.0,42137438.0
Tiền gửi có kỳ hạn bằng VND,Tiền gửi tại các tổ chức tín dụng khác > Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,93.311.954,70.926.012,93311954.0,70926012.0
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi tại các tổ chức tín dụng khác > Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,54.292.685,72.229.835,54292685.0,72229835.0
,,,187.731.239,185.294.032,187731239.0,185294032.0
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,,
Cho vay bằng VND,Cho vay các tổ chức tín dụng khác > Cho vay bằng VND,Cho vay bằng VND,62.740.061,58.764.202,62740061.0,58764202.0
Cho vay bằng ngoại tệ,Cho vay các tổ chức tín dụng khác > Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,3.271.793,7.908.766,3271793.0,7908766.0
,,,66.011.854,66.672.968,66011854.0,66672968.0
Dự phòng rủi ro,Cho vay các tổ chức tín dụng khác > Dự phòng rủi ro,Dự phòng rủi ro,(3.000.000),(1.000.000),-3000000.0,-1000000.0
,,,250.743.093,250.967.000,250743093.0,250967000.0
