row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm đến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2020 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.950.330.301.763,-,-,1.950.330.301.763,1950330301763.0,,,1950330301763.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2020 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",792.834.048.146,22.366.897.367,-,815.200.945.513,792834048146.0,22366897367.0,,815200945513.0
Các khoản cho vay,Tại ngày 31/12/2020 > Các khoản cho vay,Các khoản cho vay,82.325.556.624,102.300.000,-,82.427.856.624,82325556624.0,102300000.0,,82427856624.0
,,,2.825.489.906.533,22.469.197.367,-,2.847.959.103.900,2825489906533.0,22469197367.0,,2847959103900.0
Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2020 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.710.172.050.345,-,-,2.710.172.050.345,2710172050345.0,,,2710172050345.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2020 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",919.248.509.344,21.958.811.197,-,941.207.320.541,919248509344.0,21958811197.0,,941207320541.0
Các khoản cho vay,Tại ngày 01/01/2020 > Các khoản cho vay,Các khoản cho vay,92.296.034.246,102.300.000,-,92.398.334.246,92296034246.0,102300000.0,,92398334246.0
,,,3.721.716.593.935,22.061.111.197,-,3.743.777.705.132,3721716593935.0,22061111197.0,,3743777705132.0
