row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,8.356.843.503.280,7.098.139.965.175,,400.0,,8356843503280.0,7098139965175.0
I.,I.,I.,Vốn chủ sở hữu,410,30,8.312.963.548.452,7.052.432.720.897,,410.0,30.0,8312963548452.0,7052432720897.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,4.483.500.000.000,4.483.500.000.000,,411.0,,4483500000000.0,4483500000000.0
1.,1.,1.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,4.483.500.000.000,4.483.500.000.000,,,,4483500000000.0,4483500000000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,929.867.056.019,931.908.405.494,,412.0,,929867056019.0,931908405494.0
3.,3.,3.,Vốn khác của chủ sở hữu,414,,17.162.355.346,22.169.426.581,,414.0,,17162355346.0,22169426581.0
4.,4.,4.,Cổ phiếu quỹ,415,,(1.713.600),(2.471.750),,415.0,,-1713600.0,-2471750.0
5.,5.,5.,Chênh lệch đánh giá lại tài sản,416,,(211.681.407.015),(211.820.416.851),,416.0,,-211681407015.0,-211820416851.0
6.,6.,6.,Chênh lệch tỷ giá hồi đoái,417,,(14.320.575.687),(2.587.926.278),,417.0,,-14320575687.0,-2587926278.0
7.,7.,7.,Quỹ đầu tư phát triển,418,,431.195.404.115,372.750.759.243,,418.0,,431195404115.0,372750759243.0
8.,8.,8.,Quỹ khác thuộc vốn chủ sở hữu,420,,6.257.939.977,6.590.730.292,,420.0,,6257939977.0,6590730292.0
9.,9.,9.,Lợi nhuận sau thuế chưa phân phối,421,,1.410.538.854.492,785.969.011.918,,421.0,,1410538854492.0,785969011918.0
9.,9.,9.,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,421a,,186.886.752.025,180.112.533.302,,,,186886752025.0,180112533302.0
9.,9.,9.,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,1.223.652.102.467,605.856.478.616,,,,1223652102467.0,605856478616.0
10.,10.,10.,Lợi ích của cổ đông không kiểm soát,429,,1.260.445.634.805,663.955.202.248,,429.0,,1260445634805.0,663955202248.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,43.879.954.828,45.707.244.278,,430.0,,43879954828.0,45707244278.0
1.,1.,1.,Nguồn kinh phí đã hình thành tài sản cổ định,432,31,43.879.954.828,45.707.244.278,,432.0,31.0,43879954828.0,45707244278.0
,,,TỔNG CỘNG NGUỒN VỐN(440=300+400),440,,21.997.051.222.819,17.977.211.979.243,,440.0,,21997051222819.0,17977211979243.0
