row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
,,,VND,VND,,
Giá vốn của hàng hoá đã bán,Giá vốn của hàng hoá đã bán,Giá vốn của hàng hoá đã bán,2.144.935.238.914,1.968.783.177.560,2144935238914.0,1968783177560.0
Giá vốn bán bắt động sản,Giá vốn bán bắt động sản,Giá vốn bán bắt động sản,601.409.400.723,575.249.753.559,601409400723.0,575249753559.0
"Giá vốn bán các sản phẩm kính, gưỡng","Giá vốn bán các sản phẩm kính, gưỡng","Giá vốn bán các sản phẩm kính, gưỡng",953.193.502.105,795.178.566.592,953193502105.0,795178566592.0
"Giá vốn bán các sản phẩm sứ, sen vòi và phụ kiện","Giá vốn bán các sản phẩm sứ, sen vòi và phụ kiện","Giá vốn bán các sản phẩm sứ, sen vòi và phụ kiện",560.271.137.374,595.406.434.114,560271137374.0,595406434114.0
"Giá vốn bán các sản phẩm gạch, ngói đất sét nung","Giá vốn bán các sản phẩm gạch, ngói đất sét nung","Giá vốn bán các sản phẩm gạch, ngói đất sét nung",-,2.948.423.295,,2948423295.0
Giá vốn bán hàng khác,Giá vốn bán hàng khác,Giá vốn bán hàng khác,30.061.198.712,-,30061198712.0,
Giá vốn dịch vụ đã cung cấp,Giá vốn dịch vụ đã cung cấp,Giá vốn dịch vụ đã cung cấp,1.905.154.401.575,1.884.915.279.952,1905154401575.0,1884915279952.0
Giá vốn cho thuê đất đã phát triển cơ sở hạ tầng,Giá vốn cho thuê đất đã phát triển cơ sở hạ tầng,Giá vốn cho thuê đất đã phát triển cơ sở hạ tầng,1.559.973.828.503,1.594.470.735.552,1559973828503.0,1594470735552.0
"Giá vốn phí dịch vụ quản lý và vận hành khu công nghiệp, khu đô thị, chung cư","Giá vốn phí dịch vụ quản lý và vận hành khu công nghiệp, khu đô thị, chung cư","Giá vốn phí dịch vụ quản lý và vận hành khu công nghiệp, khu đô thị, chung cư",340.848.085.253,283.402.190.486,340848085253.0,283402190486.0
Giá vốn dịch vụ khác,Giá vốn dịch vụ khác,Giá vốn dịch vụ khác,4.332.487.819,7.042.353.914,4332487819.0,7042353914.0
,,,4.050.089.640.489,3.853.698.457.512,4050089640489.0,3853698457512.0
