row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
Phải trả các tổ đội thi công,a. Ngắn hạn > Phải trả các tổ đội thi công,Phải trả các tổ đội thi công,78.838.388.937,74.503.362.350,78838388937.0,74503362350.0
"Tiền đặt cọc thuê cơ sở hạ tầng khu công nghiệp và mua đất, nhà, thuê mặt bằng của khách hàng","a. Ngắn hạn > Tiền đặt cọc thuê cơ sở hạ tầng khu công nghiệp và mua đất, nhà, thuê mặt bằng của khách hàng","Tiền đặt cọc thuê cơ sở hạ tầng khu công nghiệp và mua đất, nhà, thuê mặt bằng của khách hàng",43.485.913.630,123.740.252.513,43485913630.0,123740252513.0
Phải trả Bộ Xây dựng về Kinh phí nguồn sự nghiệp khoa học (i),a. Ngắn hạn > Phải trả Bộ Xây dựng về Kinh phí nguồn sự nghiệp khoa học (i),Phải trả Bộ Xây dựng về Kinh phí nguồn sự nghiệp khoa học (i),38.743.400.841,38.743.400.841,38743400841.0,38743400841.0
"Cổ tức, lợi nhuận phải trả","a. Ngắn hạn > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",21.048.892.042,23.544.068.348,21048892042.0,23544068348.0
"Nhận ký quỹ, ký cược ngắn hạn","a. Ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",8.575.829.770,8.190.491.125,8575829770.0,8190491125.0
Các khoản trích theo lương,a. Ngắn hạn > Các khoản trích theo lương,Các khoản trích theo lương,4.909.669.751,5.881.081.849,4909669751.0,5881081849.0
Phải trả về thư tín dụng trả chậm UPAS L/C,a. Ngắn hạn > Phải trả về thư tín dụng trả chậm UPAS L/C,Phải trả về thư tín dụng trả chậm UPAS L/C,,196.158.583.434,,196158583434.0
Các khoản phải trả khác,a. Ngắn hạn > Các khoản phải trả khác,Các khoản phải trả khác,65.259.004.414,96.330.919.228,65259004414.0,96330919228.0
,,,260.861.099.385,567.092.159.688,260861099385.0,567092159688.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
"Nhận ký quỹ, ký cược dài hạn","b. Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",38.505.020.986,41.390.232.962,38505020986.0,41390232962.0
"Các khoản phải trả, phải nộp khác","b. Dài hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",832.305.500,2.667.247.950,832305500.0,2667247950.0
,,,39.337.326.486,44.057.480.912,39337326486.0,44057480912.0
