row_label_raw,row_label_full,col_0,col_1,Tổng doanh thu2016VND,Chi tiết doanh thu,Chi tiết doanh thu_1,Chi tiết doanh thu_2,Lợi nhuận/(lỗ)sau thuế TNDN2016VND,numeric__col_1,numeric__Tổng doanh thu2016VND,numeric__Chi tiết doanh thu,numeric__Chi tiết doanh thu_1,numeric__Chi tiết doanh thu_2,numeric__Lợi nhuận/(lỗ)sau thuế TNDN2016VND
,,,,Tổng doanh thu2016VND,Doanh thu bán hàng và cung cấp dịch vụ2016VND,Doanh thu hoạt động tài chính2016VND,Thu nhập khác2016VND,Lợi nhuận/(lỗ)sau thuế TNDN2016VND,,,,,,
STT,STT,STT,Đơn vị,Tổng doanh thu2016VND,Doanh thu bán hàng và cung cấp dịch vụ2016VND,Doanh thu hoạt động tài chính2016VND,Thu nhập khác2016VND,Lợi nhuận/(lỗ)sau thuế TNDN2016VND,,,,,,
1,1,1,Văn phòng Công ty mẹ,,,,,,,,,,,
1,1 > 1,1,Văn phòng Hà Nội,599.896.756.822,87.620.954.173,433.010.338.499,79.265.464.150,353.351.915.022,,599896756822.0,87620954173.0,433010338499.0,79265464150.0,353351915022.0
1,1 > 1,1,Văn phòng Hồ Chí Minh,40.574.199.831,22.174.317.125,18.204.428.158,195.454.548,(9.508.329.127),,40574199831.0,22174317125.0,18204428158.0,195454548.0,-9508329127.0
2,2,2,Các đơn vị phụ thuộc,,,,,,,,,,,
2,2,2,Trung tâm xử lý nước thải KCN,,,,,,,,,,,
2,2 > 2,2,Dệt May Phố Nối,16.898.901.995,16.891.366.173,1.535.822,6.000.000,(8.081.137.741),,16898901995.0,16891366173.0,1535822.0,6000000.0,-8081137741.0
2,2 > 2,2,Chi nhánh Tập đoàn Đệt May Việt Nam tại TP. Hồ Chí Minh,69.171.333.620,69.006.171.390,155.445.002,9.717.228,(723.991.466),,69171333620.0,69006171390.0,155445002.0,9717228.0,-723991466.0
2,2 > 2,2,Xí nghiệp May Vinatex Quảng Ngãi,37.685.245.064,36.882.830.567,54.646.804,747.767.693,(14.416.723.692),,37685245064.0,36882830567.0,54646804.0,747767693.0,-14416723692.0
2,2 > 2,2,Nhà máy Sợi Phú Hưng,344.373.018.444,343.075.246.666,1.215.258.178,82.513.600,8.139.391.815,,344373018444.0,343075246666.0,1215258178.0,82513600.0,8139391815.0
2,2 > 2,2,Nhà máy May Vinatex Kiên Giang,7.517.641.676,7.516.913.122,728.554,-,(18.455.250.836),,7517641676.0,7516913122.0,728554.0,,-18455250836.0
2,2 > 2,2,Nhà máy Sản xuất Vải Yarn Dyed,35.165.441.547,35.151.871.852,13.569.695,-,(30.099.143.505),,35165441547.0,35151871852.0,13569695.0,,-30099143505.0
2,2 > 2,2,Nhà máy Sợi Vinatex Phú Cường,89.416.508.586,89.093.862.190,322.646.396,-,(5.993.441.017),,89416508586.0,89093862190.0,322646396.0,,-5993441017.0
2,2 > 2,2,Nhà máy Sợi Vinatex Nam Định,59.231.054.643,59.037.673.629,193.381.014,-,(6.508.317.559),,59231054643.0,59037673629.0,193381014.0,,-6508317559.0
3,2 > 3,3,Tổng,1.299.930.102.228,766.451.206.887,453.171.978.122,80.306.917.219,267.704.971.894,,1299930102228.0,766451206887.0,453171978122.0,80306917219.0,267704971894.0
