row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2017 VND,1/1/2017 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2017 VND,numeric__1/1/2017 VND
VỐN CHỦ SỞ HỮU (400 = 410 + 430),VỐN CHỦ SỞ HỮU (400 = 410 + 430),VỐN CHỦ SỞ HỮU (400 = 410 + 430),400,29,7.821.312.498.406,7.594.470.534.040,400.0,29.0,7821312498406.0,7594470534040.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,,7.788.889.846.384,7.559.178.352.429,410.0,,7788889846384.0,7559178352429.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,30,5.000.000.000.000,5.000.000.000.000,411.0,30.0,5000000000000.0,5000000000000.0
- Cổ phiếu phố thông có quyền biểu quyết,- Cổ phiếu phố thông có quyền biểu quyết,- Cổ phiếu phố thông có quyền biểu quyết,411a,,5.000.000.000.000,5.000.000.000.000,,,5000000000000.0,5000000000000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,29.911.650.892,29.911.650.892,412.0,,29911650892.0,29911650892.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,42.248.630.739,42.248.630.739,414.0,,42248630739.0,42248630739.0
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,416,,(742.835.089.736),(742.835.089.736),416.0,,-742835089736.0,-742835089736.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,32,494.461.905.677,457.818.876.459,418.0,32.0,494461905677.0,457818876459.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,10.981.645.059,10.981.645.059,420.0,,10981645059.0,10981645059.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,569.477.391.709,555.190.797.152,421.0,,569477391709.0,555190797152.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,183.521.885.595,230.356.822.217,,,183521885595.0,230356822217.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,385.955.506.114,324.833.974.935,,,385955506114.0,324833974935.0
Nguồn vốn đầu tư xây dựng cơ bản,Nguồn vốn đầu tư xây dựng cơ bản,Nguồn vốn đầu tư xây dựng cơ bản,422,33,550.677.792.232,553.877.792.360,422.0,33.0,550677792232.0,553877792360.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,1.833.965.919.812,1.651.984.049.504,429.0,,1833965919812.0,1651984049504.0
Nguồn kinh phí và các quỹ khác,Nguồn kinh phí và các quỹ khác,Nguồn kinh phí và các quỹ khác,430,,32.422.652.022,35.292.181.611,430.0,,32422652022.0,35292181611.0
Nguồn kinh phí,Nguồn kinh phí,Nguồn kinh phí,431,,-,553.206.786,431.0,,,553206786.0
Nguồn kinh phí đã hình thành tài sản cổ định,Nguồn kinh phí đã hình thành tài sản cổ định,Nguồn kinh phí đã hình thành tài sản cổ định,432,,32.422.652.022,34.738.974.825,432.0,,32422652022.0,34738974825.0
TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,20.906.160.395.873,19.794.423.295.461,440.0,,20906160395873.0,19794423295461.0
