row_label_raw,row_label_full,col_0,Hạ tầng khu công nghiệp VND,Nhà cửa VND,Vật kiến trúc VND,Tổng cộng VND,numeric__Hạ tầng khu công nghiệp VND,numeric__Nhà cửa VND,numeric__Vật kiến trúc VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,138.708.893.771,54.112.959.020,1.381.963.673,194.203.816.464,138708893771.0,54112959020.0,1381963673.0,194203816464.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,51.652.384.945,181.970.000,-,51.834.354.945,51652384945.0,181970000.0,,51834354945.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,831.565.455,-,831.565.455,,831565455.0,,831565455.0
Giảm giá trị tương ứng với các hợp đồng cho thuê lại đất ghi nhận doanh thu một lần,Nguyên giá > Giảm giá trị tương ứng với các hợp đồng cho thuê lại đất ghi nhận doanh thu một lần,Giảm giá trị tương ứng với các hợp đồng cho thuê lại đất ghi nhận doanh thu một lần,(35.210.905.344),-,-,(35.210.905.344),-35210905344.0,,,-35210905344.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(341.101.872),-,(341.101.872),,-341101872.0,,-341101872.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,155.150.373.372,54.785.392.603,1.381.963.673,211.317.729.648,155150373372.0,54785392603.0,1381963673.0,211317729648.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.410.457.315,21.981.167.889,559.745.406,27.951.370.610,5410457315.0,21981167889.0,559745406.0,27951370610.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.977.178.981,2.013.153.484,178.135.637,5.168.468.102,2977178981.0,2013153484.0,178135637.0,5168468102.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(317.532.852),-,(317.532.852),,-317532852.0,,-317532852.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,8.387.636.296,23.676.788.521,737.881.043,32.802.305.860,8387636296.0,23676788521.0,737881043.0,32802305860.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,133.298.436.456,32.131.791.131,822.218.267,166.252.445.854,133298436456.0,32131791131.0,822218267.0,166252445854.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,146.762.737.076,31.108.604.082,644.082.630,178.515.423.788,146762737076.0,31108604082.0,644082630.0,178515423788.0
