row_label_raw,row_label_full,col_0,2020VND,2019VNDĐã điều chỉnh lại,numeric__2020VND,numeric__2019VNDĐã điều chỉnh lại
Lãi tiền gửi và cho vay,Lãi tiền gửi và cho vay,Lãi tiền gửi và cho vay,102.861.951.324,128.761.901.521,102861951324.0,128761901521.0
Lãi từ thanh lý các khoản đầu tư tài chính,Lãi từ thanh lý các khoản đầu tư tài chính,Lãi từ thanh lý các khoản đầu tư tài chính,685.764.362,16.031.578.513,685764362.0,16031578513.0
Cổ tức được chia,Cổ tức được chia,Cổ tức được chia,15.248.006.445,25.721.537.665,15248006445.0,25721537665.0
Lãi chênh lệch tỷ giá đã thực hiện,Lãi chênh lệch tỷ giá đã thực hiện,Lãi chênh lệch tỷ giá đã thực hiện,75.311.743.001,35.070.706.923,75311743001.0,35070706923.0
Lãi chênh lệch tỷ giá chưa thực hiện,Lãi chênh lệch tỷ giá chưa thực hiện,Lãi chênh lệch tỷ giá chưa thực hiện,7.560.028.667,9.339.023.602,7560028667.0,9339023602.0
Lãi do thoái vốn đầu tư vào công ty con(Thuyết minh 5),Lãi do thoái vốn đầu tư vào công ty con(Thuyết minh 5),Lãi do thoái vốn đầu tư vào công ty con(Thuyết minh 5),25.074.373.577,122.454.786.167,25074373577.0,122454786167.0
Lãi do thanh lý công ty liên kết,Lãi do thanh lý công ty liên kết,Lãi do thanh lý công ty liên kết,-,15.975.264.932,,15975264932.0
Thu nhập tiền lãi từ các khoản trả chậm,Thu nhập tiền lãi từ các khoản trả chậm,Thu nhập tiền lãi từ các khoản trả chậm,16.745.753.479,-,16745753479.0,
Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính khác,10.508.510.535,13.762.379.675,10508510535.0,13762379675.0
,,,253.996.131.390,367.117.178.998,253996131390.0,367117178998.0
