row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2023VND,1/1/2023VND,,
Công ty TNHH Coats Phong Phú,Công ty TNHH Coats Phong Phú,Công ty TNHH Coats Phong Phú,113.662.912.043,59.155.254.606,113662912043.0,59155254606.0
Công ty Cổ phần Dệt May Nha Trang,Công ty Cổ phần Dệt May Nha Trang,Công ty Cổ phần Dệt May Nha Trang,39.837.546.572,42.455.986.883,39837546572.0,42455986883.0
Tổng Công ty Cổ phần Đức Giang,Tổng Công ty Cổ phần Đức Giang,Tổng Công ty Cổ phần Đức Giang,16.977.031.930,95.163.545.046,16977031930.0,95163545046.0
Công ty Cổ phần Dệt May Nha Trang,Công ty Cổ phần Dệt May Nha Trang,Công ty Cổ phần Dệt May Nha Trang,14.628.788.818,20.639.993.960,14628788818.0,20639993960.0
Tổng Công ty May 10 – CTCP,Tổng Công ty May 10 – CTCP,Tổng Công ty May 10 – CTCP,9.575.925.483,2.804.724.500,9575925483.0,2804724500.0
Công ty Cổ phần Hòa Thọ - Quảng Nam,Công ty Cổ phần Hòa Thọ - Quảng Nam,Công ty Cổ phần Hòa Thọ - Quảng Nam,7.600.436.555,18.462.790.590,7600436555.0,18462790590.0
Tổng Công ty May Nhà Bè – CTCP,Tổng Công ty May Nhà Bè – CTCP,Tổng Công ty May Nhà Bè – CTCP,217.715.405,606.966.052,217715405.0,606966052.0
Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,5.680.364.705,6.095.996.265,5680364705.0,6095996265.0
,,,208.180.721.511,245.385.257.902,208180721511.0,245385257902.0
