row_label_raw,row_label_full,col_0,2024VND,2023VND,numeric__2024VND,numeric__2023VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,835.092.058.634,538.530.378.468,835092058634.0,538530378468.0
Thuế tính theo thuế suất của Công ty mẹ -Tập đoàn Đệt May Việt Nam,Thuế tính theo thuế suất của Công ty mẹ -Tập đoàn Đệt May Việt Nam,Thuế tính theo thuế suất của Công ty mẹ -Tập đoàn Đệt May Việt Nam,167.018.411.727,107.706.075.694,167018411727.0,107706075694.0
Ưu đãi thuế,Ưu đãi thuế,Ưu đãi thuế,(4.650.195.683),(4.493.333.788),-4650195683.0,-4493333788.0
Ảnh hưởng của các mức thuế suất khácáp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khácáp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khácáp dụng cho các công ty con,(7.463.984.616),(4.214.610.500),-7463984616.0,-4214610500.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,10.645.822.016,5.653.088.337,10645822016.0,5653088337.0
Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,(115.362.236.904),(115.966.861.063),-115362236904.0,-115966861063.0
Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,(1.461.265.377),(8.191.942.374),-1461265377.0,-8191942374.0
Tài sản thuế thu nhập hoãn lại chưa được ghi nhậnđối với lỗ tính thuế của năm hiện hành,Tài sản thuế thu nhập hoãn lại chưa được ghi nhậnđối với lỗ tính thuế của năm hiện hành,Tài sản thuế thu nhập hoãn lại chưa được ghi nhậnđối với lỗ tính thuế của năm hiện hành,112.648.242.868,116.382.191.995,112648242868.0,116382191995.0
Biến động chênh lệch tạm thời chưa được ghi nhận,Biến động chênh lệch tạm thời chưa được ghi nhận,Biến động chênh lệch tạm thời chưa được ghi nhận,16.433.580.992,42.529.600.322,16433580992.0,42529600322.0
Dự phòng thiếu trong những năm trước,Dự phòng thiếu trong những năm trước,Dự phòng thiếu trong những năm trước,1.845.160.217,3.242.422.520,1845160217.0,3242422520.0
,,,179.653.535.240,142.646.631.143,179653535240.0,142646631143.0
