row_label_raw,row_label_full,col_0,31/12/2024Triệu VND,31/12/2023Triệu VND,numeric__31/12/2024Triệu VND,numeric__31/12/2023Triệu VND
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,1.952.684,3.003.801,1952684.0,3003801.0
- Các khoản phải thu nội bộ,- Các khoản phải thu nội bộ,- Các khoản phải thu nội bộ,352.414,230.388,352414.0,230388.0
- Các khoản phải thu bên ngoài,- Các khoản phải thu bên ngoài,- Các khoản phải thu bên ngoài,1.600.270,2.773.413,1600270.0,2773413.0
Phải thu từ hoạt động tài trợ thương mại,Phải thu từ hoạt động tài trợ thương mại,Phải thu từ hoạt động tài trợ thương mại,32.563,1.475.198,32563.0,1475198.0
Phải thu hoa hồng bảo hiểm,Phải thu hoa hồng bảo hiểm,Phải thu hoa hồng bảo hiểm,117.359,129.818,117359.0,129818.0
Tạm ứng chi phí xử lý tài sản bảo đảm,Tạm ứng chi phí xử lý tài sản bảo đảm,Tạm ứng chi phí xử lý tài sản bảo đảm,9.011,9.488,9011.0,9488.0
Phải thu từ Ngân sách nhà nước,Phải thu từ Ngân sách nhà nước,Phải thu từ Ngân sách nhà nước,35.874,35.746,35874.0,35746.0
Các khoản phải thu khác từ bên ngoài,Các khoản phải thu khác từ bên ngoài,Các khoản phải thu khác từ bên ngoài,839.625,618.706,839625.0,618706.0
Chi phí mua sắm tài sản cố định và xây dựng cơ bản dở dang,Chi phí mua sắm tài sản cố định và xây dựng cơ bản dở dang,Chi phí mua sắm tài sản cố định và xây dựng cơ bản dở dang,565.838,504.457,565838.0,504457.0
"Các khoản lãi, phí phải thu (a)","Các khoản lãi, phí phải thu (a)","Các khoản lãi, phí phải thu (a)",2.572.270,3.663.279,2572270.0,3663279.0
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,1.002,-,1002.0,
Tài sản Có khác (b),Tài sản Có khác (b),Tài sản Có khác (b),1.137.572,1.064.350,1137572.0,1064350.0
Các khoản dự phòng cho các tài sản Có nội bảng khác (*),Các khoản dự phòng cho các tài sản Có nội bảng khác (*),Các khoản dự phòng cho các tài sản Có nội bảng khác (*),(244),(11.064),-244.0,-11064.0
,,,5.663.284,7.720.366,5663284.0,7720366.0
