row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > Dự phòng,Số đầu năm(Trình bày lại) > Giá gốc,Số đầu năm(Trình bày lại) > Giá trị hợp lý,Số đầu năm(Trình bày lại) > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm(Trình bày lại) > Giá gốc,numeric__Số đầu năm(Trình bày lại) > Giá trị hợp lý,numeric__Số đầu năm(Trình bày lại) > Dự phòng
Cổ phiếu Tổng Công ty Phân bón và Hóa chất Đầu khí,Cổ phiếu Tổng Công ty Phân bón và Hóa chất Đầu khí,Cổ phiếu Tổng Công ty Phân bón và Hóa chất Đầu khí,32.369.112.000,17.411.112.000,(14.958.000.000),32.369.112.000,18.428.256.000,(13.940.856.000),32369112000.0,17411112000.0,-14958000000.0,32369112000.0,18428256000.0,-13940856000.0
Cổ phiếu Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (i),Cổ phiếu Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (i),Cổ phiếu Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (i),-,-,-,73.412.301.500,56.016.740.900,(17.395.560.600),,,,73412301500.0,56016740900.0,-17395560600.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,32.369.112.000,17.411.112.000,(14.958.000.000),105.781.413.500,74.444.996.900,(31.336.416.600),32369112000.0,17411112000.0,-14958000000.0,105781413500.0,74444996900.0,-31336416600.0
"(i) Trong năm, Công ty đã chuyển nhượng toàn bộ khoản chứng khoán kinh doanh này. Lãi từ giao dịch chuyển nhượng này được ghi nhận vào Doanh thu hoạt động tài chính (Thuyết minh số 30.3)","(i) Trong năm, Công ty đã chuyển nhượng toàn bộ khoản chứng khoán kinh doanh này. Lãi từ giao dịch chuyển nhượng này được ghi nhận vào Doanh thu hoạt động tài chính (Thuyết minh số 30.3)","(i) Trong năm, Công ty đã chuyển nhượng toàn bộ khoản chứng khoán kinh doanh này. Lãi từ giao dịch chuyển nhượng này được ghi nhận vào Doanh thu hoạt động tài chính (Thuyết minh số 30.3)","(i) Trong năm, Công ty đã chuyển nhượng toàn bộ khoản chứng khoán kinh doanh này. Lãi từ giao dịch chuyển nhượng này được ghi nhận vào Doanh thu hoạt động tài chính (Thuyết minh số 30.3)","(i) Trong năm, Công ty đã chuyển nhượng toàn bộ khoản chứng khoán kinh doanh này. Lãi từ giao dịch chuyển nhượng này được ghi nhận vào Doanh thu hoạt động tài chính (Thuyết minh số 30.3)","(i) Trong năm, Công ty đã chuyển nhượng toàn bộ khoản chứng khoán kinh doanh này. Lãi từ giao dịch chuyển nhượng này được ghi nhận vào Doanh thu hoạt động tài chính (Thuyết minh số 30.3)","(i) Trong năm, Công ty đã chuyển nhượng toàn bộ khoản chứng khoán kinh doanh này. Lãi từ giao dịch chuyển nhượng này được ghi nhận vào Doanh thu hoạt động tài chính (Thuyết minh số 30.3)","(i) Trong năm, Công ty đã chuyển nhượng toàn bộ khoản chứng khoán kinh doanh này. Lãi từ giao dịch chuyển nhượng này được ghi nhận vào Doanh thu hoạt động tài chính (Thuyết minh số 30.3)","(i) Trong năm, Công ty đã chuyển nhượng toàn bộ khoản chứng khoán kinh doanh này. Lãi từ giao dịch chuyển nhượng này được ghi nhận vào Doanh thu hoạt động tài chính (Thuyết minh số 30.3)",,,,,,
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,,,,,,
,,,,Số cuối năm,Số cuối năm,Số đầu năm(Trình bày lại),Số đầu năm(Trình bày lại),Số đầu năm(Trình bày lại),,,,,,
,,,,Giá gốc,Giá trị ghi số,Giá gốc,Giá trị ghi số,,,,,,,
Tiền gửi ngân hàng và chứng chỉ tiền gửi có kỳ hạn (i),Đầu tư nằm giữ đến ngày đáo hạn > Tiền gửi ngân hàng và chứng chỉ tiền gửi có kỳ hạn (i),Tiền gửi ngân hàng và chứng chỉ tiền gửi có kỳ hạn (i),,9.602.998.237.082,9.602.998.237.082,3.516.847.342.390,3.516.847.342.390,,,9602998237082.0,9602998237082.0,3516847342390.0,3516847342390.0,
Các khoản tiền gửi dài hạn đến hạn thu hồi(Thuyết minh số 19.2),Đầu tư nằm giữ đến ngày đáo hạn > Các khoản tiền gửi dài hạn đến hạn thu hồi(Thuyết minh số 19.2),Các khoản tiền gửi dài hạn đến hạn thu hồi(Thuyết minh số 19.2),,1.522.570.241.813,1.522.570.241.813,497.621.378.611,497.621.378.611,,,1522570241813.0,1522570241813.0,497621378611.0,497621378611.0,
TỔNG CỘNG,Đầu tư nằm giữ đến ngày đáo hạn > TỔNG CỘNG,TỔNG CỘNG,,11.125.568.478.895,11.125.568.478.895,4.014.468.721.001,4.014.468.721.001,,,11125568478895.0,11125568478895.0,4014468721001.0,4014468721001.0,
