row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
Chi phí xây dựng trích trước,Chi phí xây dựng trích trước,Chi phí xây dựng trích trước,3.833.550.276.538,1.254.563.464.393,3833550276538.0,1254563464393.0
Giá vốn trích trước cho bất động sản đã chuyển nhượng,Giá vốn trích trước cho bất động sản đã chuyển nhượng,Giá vốn trích trước cho bất động sản đã chuyển nhượng,1.481.238.686.362,709.720.429.437,1481238686362.0,709720429437.0
Chi phí lãi vay trích trước,Chi phí lãi vay trích trước,Chi phí lãi vay trích trước,830.480.551.017,1.412.328.936.912,830480551017.0,1412328936912.0
Chi phí môi giới trích trước,Chi phí môi giới trích trước,Chi phí môi giới trích trước,170.787.321.201,8.989.887.304,170787321201.0,8989887304.0
Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,15.976.951.769,9.361.134.676,15976951769.0,9361134676.0
Các khoản chi phí phải trả khác,Các khoản chi phí phải trả khác,Các khoản chi phí phải trả khác,588.861.352.093,101.582.477.169,588861352093.0,101582477169.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,6.920.895.138.980,3.496.546.329.891,6920895138980.0,3496546329891.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi phí phải trả ngắn hạn cho bên liên quan(Thuyết minh số 37),Trong đó: > Chi phí phải trả ngắn hạn cho bên liên quan(Thuyết minh số 37),Chi phí phải trả ngắn hạn cho bên liên quan(Thuyết minh số 37),6.476.650.924,301.388.889,6476650924.0,301388889.0
Chi phí phải trả ngắn hạn khác,Trong đó: > Chi phí phải trả ngắn hạn khác,Chi phí phải trả ngắn hạn khác,6.914.418.488.056,3.496.244.941.002,6914418488056.0,3496244941002.0
