row_label_raw,row_label_full,Vay ngắn hạn(Thuyết minh số 31),Số đầu năm > Giá trị(trình bày lại) > 5.328.440.690.173,Số đầu năm > Số có khả năngtrả nợ > 5.328.440.690.173,Trong năm > Tăng trong năm > 46.593.240.023.435,Trong năm > Giảm trong năm > (37.819.870.480.640),Đơn vị tính: VND > Số cuối năm > Giá trị > 14.101.810.232.968,Đơn vị tính: VND > Số cuối năm > Số có khả năngtrả nợ > 14.101.810.232.968,numeric__Số đầu năm > Giá trị(trình bày lại) > 5.328.440.690.173,numeric__Số đầu năm > Số có khả năngtrả nợ > 5.328.440.690.173,numeric__Trong năm > Tăng trong năm > 46.593.240.023.435,numeric__Trong năm > Giảm trong năm > (37.819.870.480.640),numeric__Đơn vị tính: VND > Số cuối năm > Giá trị > 14.101.810.232.968,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năngtrả nợ > 14.101.810.232.968
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,699.053.202.464,699.053.202.464,1.002.600.000.000,(1.701.653.202.464),-,-,699053202464.0,699053202464.0,1002600000000.0,-1701653202464.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,6.027.493.892.637,6.027.493.892.637,47.595.840.023.435,(39.521.523.683.104),14.101.810.232.968,14.101.810.232.968,6027493892637.0,6027493892637.0,47595840023435.0,-39521523683104.0,14101810232968.0,14101810232968.0
23.2 Vay dài hạn,23.2 Vay dài hạn,23.2 Vay dài hạn,Số đầu năm,Số đầu năm,Trong năm,Trong năm,Đơn vị tính: VND,Đơn vị tính: VND,,,,,,
23.2 Vay dài hạn,23.2 Vay dài hạn,23.2 Vay dài hạn,Giá trị(trình bày lại),Số có khả năngtrả nợ,Tăng trong năm,Giảm trong năm,Số cuối năm,Số cuối năm,,,,,,
23.2 Vay dài hạn,23.2 Vay dài hạn,23.2 Vay dài hạn,Giá trị(trình bày lại),Số có khả năngtrả nợ,Tăng trong năm,Giảm trong năm,Giá trị,Số có khả năngtrả nợ,,,,,,
Trái phiếu phát hành trongnước (i),23.2 Vay dài hạn > Trái phiếu phát hành trongnước (i),Trái phiếu phát hành trongnước (i),6.927.813.591.367,6.927.813.591.367,4.852.408.341.699,(72.165.166.660),11.708.056.766.406,11.708.056.766.406,6927813591367.0,6927813591367.0,4852408341699.0,-72165166660.0,11708056766406.0,11708056766406.0
Trái phiếu quốc tế (ii),23.2 Vay dài hạn > Trái phiếu quốc tế (ii),Trái phiếu quốc tế (ii),4.045.070.854.083,4.045.070.854.083,294.610.096.219,-,4.339.680.950.302,4.339.680.950.302,4045070854083.0,4045070854083.0,294610096219.0,,4339680950302.0,4339680950302.0
Vay hợp vốn quốc tế (iii),23.2 Vay dài hạn > Vay hợp vốn quốc tế (iii),Vay hợp vốn quốc tế (iii),3.106.903.122.062,3.106.903.122.062,99.346.877.938,(3.206.250.000.000),-,-,3106903122062.0,3106903122062.0,99346877938.0,-3206250000000.0,,
Trong đó: Nợ dài hạnđến hạn trả(Thuyết minh số 23.1),23.2 Vay dài hạn > Trong đó: Nợ dài hạnđến hạn trả(Thuyết minh số 23.1),Trong đó: Nợ dài hạnđến hạn trả(Thuyết minh số 23.1),(699.053.202.464),(699.053.202.464),(1.002.600.000.000),1.701.653.202.464,-,-,-699053202464.0,-699053202464.0,-1002600000000.0,1701653202464.0,,
Vay từ các bên liên quan(Thuyết minh số 31),23.2 Vay dài hạn > Vay từ các bên liên quan(Thuyết minh số 31),Vay từ các bên liên quan(Thuyết minh số 31),2.478.671.566.166,2.478.671.566.166,31.820.800.773,-,2.510.492.366.939,2.510.492.366.939,2478671566166.0,2478671566166.0,31820800773.0,,2510492366939.0,2510492366939.0
TỔNG CỘNG,23.2 Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,15.859.405.931.214,15.859.405.931.214,4.275.586.116.629,(1.576.761.964.196),18.558.230.083.647,18.558.230.083.647,15859405931214.0,15859405931214.0,4275586116629.0,-1576761964196.0,18558230083647.0,18558230083647.0
