row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận trước thuế Điều chỉnh cho các khoản:,,13.853.637.650.408,9.114.281.478.576,,,13853637650408.0,9114281478576.0
02,02,02,Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao mòn tài sản cố định vô hình (bao gồm phân bổ lợi thế thương mại),,5.155.271.347.089,3.985.433.267.539,,,5155271347089.0,3985433267539.0
03,03,03,Các khoản dự phòng,,241.329.798.072,689.528.177.247,,,241329798072.0,689528177247.0
04,04,04,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,192.367.992.975,50.260.047.814,,,192367992975.0,50260047814.0
05,05,05,Lãi từ hoạt động đầu tư,,(6.683.400.004.243),(1.015.255.359.806),,,-6683400004243.0,-1015255359806.0
06,06,06,Chi phí lãi vay (bao gồm chi phí phát hành trái phiếu phân bổ trong năm),32,4.283.365.452.469,3.401.633.686.717,,32.0,4283365452469.0,3401633686717.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,17.042.572.236.770,16.225.881.298.087,,,17042572236770.0,16225881298087.0
09,09,09,Giảm/(tăng) các khoản phải thu,,1.520.338.159.126,(6.730.252.290.761),,,1520338159126.0,-6730252290761.0
10,10,10,Giảm/(tăng) hàng tồn kho,,4.875.331.532.021,(1.227.813.074.755),,,4875331532021.0,-1227813074755.0
11,11,11,"(Giảm)/tăng các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,(24.972.740.916.783),18.034.651.110.034,,,-24972740916783.0,18034651110034.0
12,12,12,Giảm/(tăng) chi phí trả trước,,1.038.687.462.509,(2.563.290.205.702),,,1038687462509.0,-2563290205702.0
13,13,13,Giảm chứng khoán kinh doanh,,12.863.880.000,-,,,12863880000.0,
14,14,14,Tiền lãi vay đã trả,,(3.740.380.502.932),(3.062.709.959.110),,,-3740380502932.0,-3062709959110.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,22,(5.760.402.076.308),(3.890.618.182.474),,22.0,-5760402076308.0,-3890618182474.0
20,20,20,Lưu chuyển tiền thuần (sử dụng vào)/từ hoạt động kinh doanh,,(9.983.730.225.597),16.785.848.695.319,,,-9983730225597.0,16785848695319.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"Tiền chi để mua sắm, xây dựng tài sản cố định (TSCĐ) và các tài sản dà hạn khác",,(44.772.132.577.218),(19.509.233.343.507),,,-44772132577218.0,-19509233343507.0
22,22,22,"Tiền thu do thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,1.305.733.771.914,230.738.747.196,,,1305733771914.0,230738747196.0
23,23,23,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(21.453.789.238.538),(13.120.643.139.535),,,-21453789238538.0,-13120643139535.0
24,24,24,"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,20.729.470.446.661,5.871.047.533.029,,,20729470446661.0,5871047533029.0
25,25,25,Tiền chi đầu tư góp vốn vào đơn vị khác (trừ đi tiền thu về),,(46.807.073.292.884),(15.153.204.450.348),,,-46807073292884.0,-15153204450348.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác (trừ đi tiền do đơn vị bị thanh lý năm giữ),,27.524.118.859.822,13.991.102.708.588,,,27524118859822.0,13991102708588.0
27,27,27,Tiền thu lãi cho vay và cổ tức được chia,,1.160.049.930.079,1.173.726.980.704,,,1160049930079.0,1173726980704.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(62.313.622.100.164),(26.516.464.963.873),,,-62313622100164.0,-26516464963873.0
