row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,24.1,23.594.682.015.457,8.819.231.978.245,,241.0,23594682015457.0,8819231978245.0
02,02,02,2. Các khoản giảm trừ doanh thu,24.1,-,-,,241.0,,
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,24.1,23.594.682.015.457,8.819.231.978.245,,241.0,23594682015457.0,8819231978245.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,25,(22.541.180.911.750),(5.845.753.997.227),,25.0,-22541180911750.0,-5845753997227.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,1.053.501.103.707,2.973.477.981.018,,,1053501103707.0,2973477981018.0
21,21,21,6. Doanh thu hoạt động tài chính,24.3,6.062.151.725.943,4.000.107.910.871,,243.0,6062151725943.0,4000107910871.0
22,22,22,7. Chi phí tài chính,26,(2.775.733.744.833),(2.796.989.916.745),,26.0,-2775733744833.0,-2796989916745.0
23,23,23,Trong đó: Chi phí lãi vay,,(1.781.750.155.878),(2.401.441.841.731),,,-1781750155878.0,-2401441841731.0
25,25,25,8. Chi phí bán hàng,27,(689.185.213.983),(633.614.169.603),,27.0,-689185213983.0,-633614169603.0
26,26,26,9. Chi phí quản lý doanh nghiệp,27,(141.332.790.244),(927.698.631.515),,27.0,-141332790244.0,-927698631515.0
30,30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,3.509.401.080.590,2.615.283.174.026,,,3509401080590.0,2615283174026.0
31,31,31,11. Thu nhập khác,,51.009.693.632,36.489.177.675,,,51009693632.0,36489177675.0
32,32,32,12. Chi phí khác,,(5.070.486.558),(5.258.615.454),,,-5070486558.0,-5258615454.0
40,40,40,13. Lợi nhuận khác,,45.939.207.074,31.230.562.221,,,45939207074.0,31230562221.0
