row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,30.1,130.161.398,121.971.751,,301.0,130161398.0,121971751.0
02,02,02,2. Các khoản giảm trừ doanh thu,30.1,(125.384),(77.350),,301.0,-125384.0,-77350.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,30.1,130.036.014,121.894.401,,301.0,130036014.0,121894401.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,31,(92.484.797),(92.943.726),,31.0,-92484797.0,-92943726.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,37.551.217,28.950.675,,,37551217.0,28950675.0
21,21,21,6. Doanh thu hoạt động tài chính,30.3,14.000.889,7.478.550,,303.0,14000889.0,7478550.0
22,22,22,7. Chi phí tài chính,32,(8.181.371),(4.908.950),,32.0,-8181371.0,-4908950.0
23,23,23,Trong đó: Chi phí lãi vay,,(7.147.357),(3.939.282),,,-7147357.0,-3939282.0
24,24,24,"8. Phần lỗ trong công ty liên doanh, liên kết",19.1,(688.443),(424.919),,191.0,-688443.0,-424919.0
25,25,25,9. Chi phí bán hàng,33,(14.248.448),(10.112.289),,33.0,-14248448.0,-10112289.0
26,26,26,10. Chi phí quản lý doanh nghiệp,33,(12.677.438),(7.367.839),,33.0,-12677438.0,-7367839.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,15.756.406,13.615.228,,,15756406.0,13615228.0
31,31,31,12. Thu nhập khác,34,832.187,778.971,,34.0,832187.0,778971.0
32,32,32,13. Chi phí khác,34,(951.169),(493.550),,34.0,-951169.0,-493550.0
40,40,40,14. (Lỗ)/lợi nhuận khác,34,(118.982),285.421,,34.0,-118982.0,285421.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế,,15.637.424,13.900.649,,,15637424.0,13900649.0
51,51,51,16. Chi phí thuế TNDN hiện hành,36,(8.286.824),(7.273.130),,36.0,-8286824.0,-7273130.0
52,52,52,17. Thu nhập/(chi phí) thuế TNDN hoãn lại,36,366.013,(389.626),,36.0,366013.0,-389626.0
60,60,60,18. Lợi nhuận sau thuế TNDN,,7.716.613,6.237.893,,,7716613.0,6237893.0
61,61,61,19. Lợi nhuận sau thuế của công ty mẹ,29.1,7.545.915,3.823.739,,291.0,7545915.0,3823739.0
62,62,62,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,29.1,170.698,2.414.154,,291.0,170698.0,2414154.0
