row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,13.526.778,8.330.847,13526778.0,8330847.0
Phải thu từ chuyển nhượng cổ phần,Phải thu từ chuyển nhượng cổ phần,Phải thu từ chuyển nhượng cổ phần,2.738.816,4.524.072,2738816.0,4524072.0
Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,902.945,639.753,902945.0,639753.0
Phải thu từ bán hàng sản xuất và các hoạt động liên quan,Phải thu từ bán hàng sản xuất và các hoạt động liên quan,Phải thu từ bán hàng sản xuất và các hoạt động liên quan,594.408,1.038.603,594408.0,1038603.0
"Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan",119.740,254.794,119740.0,254794.0
Phải thu từ cung cấp dịch vụ y tế và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ y tế và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ y tế và các dịch vụ liên quan,275.061,189.219,275061.0,189219.0
Phải thu khác,Phải thu khác,Phải thu khác,1.847.051,1.049.586,1847051.0,1049586.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,20.004.799,16.026.874,20004799.0,16026874.0
Trong đó:,Trong đó:,Trong đó:,,,,
Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 37),Trong đó: > Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 37),Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 37),3.601.722,32.202,3601722.0,32202.0
Phải thu từ chuyển nhượng vốn cổ phần cho đối tác doanh nghiệp số 1,Trong đó: > Phải thu từ chuyển nhượng vốn cổ phần cho đối tác doanh nghiệp số 1,Phải thu từ chuyển nhượng vốn cổ phần cho đối tác doanh nghiệp số 1,997.453,1.617.453,997453.0,1617453.0
Phải thu từ chuyển nhượng vốn cổ phần cho đối tác doanh nghiệp số 2,Trong đó: > Phải thu từ chuyển nhượng vốn cổ phần cho đối tác doanh nghiệp số 2,Phải thu từ chuyển nhượng vốn cổ phần cho đối tác doanh nghiệp số 2,-,2.906.619,,2906619.0
Phải thu ngắn hạn khách hàng khác,Trong đó: > Phải thu ngắn hạn khách hàng khác,Phải thu ngắn hạn khách hàng khác,15.405.624,11.470.600,15405624.0,11470600.0
Dự phòng phải thu khó đòi,Trong đó: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(240.482),(35.414),-240482.0,-35414.0
