row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,4.984.248,1.062.790,4984248.0,1062790.0
Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,996.850,212.558,996850.0,212558.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,,,
Lợi nhuận sau thuế chia sẻ từ hợp đồng hợp tác kinh doanh cho đối tác,Các khoản điều chỉnh: > Lợi nhuận sau thuế chia sẻ từ hợp đồng hợp tác kinh doanh cho đối tác,Lợi nhuận sau thuế chia sẻ từ hợp đồng hợp tác kinh doanh cho đối tác,261.937,74.170,261937.0,74170.0
Chi phí từ thiện,Các khoản điều chỉnh: > Chi phí từ thiện,Chi phí từ thiện,70.944,155.535,70944.0,155535.0
Chi phí dự phòng không đủ điều kiện khấu trừ Hoàn nhập dự phòng chi phí lãi vay không được trừ các năm trước,Các khoản điều chỉnh: > Chi phí dự phòng không đủ điều kiện khấu trừ Hoàn nhập dự phòng chi phí lãi vay không được trừ các năm trước,Chi phí dự phòng không đủ điều kiện khấu trừ Hoàn nhập dự phòng chi phí lãi vay không được trừ các năm trước,-,46.270,,46270.0
Cổ tức được chia,Các khoản điều chỉnh: > Cổ tức được chia,Cổ tức được chia,(669.845),(69.031),-669845.0,-69031.0
Chi phí không được khấu trừ năm trước nhưng được khấu trừ năm nay,Các khoản điều chỉnh: > Chi phí không được khấu trừ năm trước nhưng được khấu trừ năm nay,Chi phí không được khấu trừ năm trước nhưng được khấu trừ năm nay,(83.260),(365.455),-83260.0,-365455.0
Các khoản điều chỉnh khác,Các khoản điều chỉnh: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,25.518,2.009,25518.0,2009.0
Chi phí thuế TNDN ước tính,Các khoản điều chỉnh: > Chi phí thuế TNDN ước tính,Chi phí thuế TNDN ước tính,602.144,53.556,602144.0,53556.0
