row_label_raw,row_label_full,Tên đơn vị,Thuyết minh,Số cuối năm > Số lượng cổ phần,Số cuối năm > Giá trị ghi số (triệu VND),Số cuối năm > Giá trị hợp lý (triệu VND),Số cuối năm > Tỷ lệ vốn nằm giữ trực tiếp (iii),Số đầu năm > Số lượng cổ phần,Số đầu năm > Giá trị ghi số (triệu VND),Số đầu năm > Giá trị hợp lý (triệu VND),Số đầu năm > Tỷ lệ vốn nằm giữ trực tiếp (iii),numeric__Thuyết minh,numeric__Số cuối năm > Số lượng cổ phần,numeric__Số cuối năm > Giá trị ghi số (triệu VND),numeric__Số cuối năm > Giá trị hợp lý (triệu VND),numeric__Số cuối năm > Tỷ lệ vốn nằm giữ trực tiếp (iii),numeric__Số đầu năm > Số lượng cổ phần,numeric__Số đầu năm > Giá trị ghi số (triệu VND),numeric__Số đầu năm > Giá trị hợp lý (triệu VND),numeric__Số đầu năm > Tỷ lệ vốn nằm giữ trực tiếp (iii)
Công ty VinFast,Công ty VinFast,Công ty VinFast,(1),(iv),84.160.898,(ii),(iv),(iv),65.729.073,(ii),(iv),-1.0,,84160898.0,,,,65729073.0,,
Công ty Vinsmart,Công ty Vinsmart,Công ty Vinsmart,(2),3.025.846.724,34.515.878,(ii),"84,53%",859.526.500,8.595.265,(ii),"82,65%",-2.0,3025846724.0,34515878.0,,0.8453,859526500.0,8595265.0,,0.8265
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,(8),3.019.227.680,27.875.791,120.769.107,"73,50%",3.019.227.680,27.875.791,130.430.636,"69,34%",-8.0,3019227680.0,27875791.0,120769107.0,0.735,3019227680.0,27875791.0,130430636.0,0.6934
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,(7),1.473.520.957,17.126.890,(ii),"85,51%",1.473.520.957,17.126.890,(ii),"97,96%",-7.0,1473520957.0,17126890.0,,0.8551000000000001,1473520957.0,17126890.0,,0.9795999999999999
Công ty VMC Holding,Công ty VMC Holding,Công ty VMC Holding,,596.658.288,5.966.583,(ii),"75,00%",596.658.288,5.966.583,(ii),"75,00%",,596658288.0,5966583.0,,0.75,596658288.0,5966583.0,,0.75
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,(9),(i),2.171.450,(ii),"98,70%",(i),1.776.641,(ii),"98,70%",-9.0,,2171450.0,,0.987,,1776641.0,,0.987
Công ty Xavinco,Công ty Xavinco,Công ty Xavinco,,190.875.000,2.071.029,(ii),"95,44%",190.875.000,2.071.029,(ii),"95,44%",,190875000.0,2071029.0,,0.9544,190875000.0,2071029.0,,0.9544
Công ty Vinpearl Cửa Hội,Công ty Vinpearl Cửa Hội,Công ty Vinpearl Cửa Hội,,126.370.900,1.855.145,(ii),"99,99%",126.370.900,1.855.145,(ii),"99,92%",,126370900.0,1855145.0,,0.9998999999999999,126370900.0,1855145.0,,0.9992
Công ty VinFast Invest,Công ty VinFast Invest,Công ty VinFast Invest,(1),(iv),1.568.175,(ii),(iv),-,-,-,-,-1.0,,1568175.0,,,,,,
Công ty Triển lâm Việt Nam,Công ty Triển lâm Việt Nam,Công ty Triển lâm Việt Nam,,138.810.945,1.395.330,23.975.889,"83,32%",138.810.945,1.395.330,15.977.140,"83,32%",,138810945.0,1395330.0,23975889.0,0.8331999999999999,138810945.0,1395330.0,15977140.0,0.8331999999999999
Công ty VinFast Auto,Công ty VinFast Auto,Công ty VinFast Auto,,1.185.010.424,450.293,25.076.634,"50,67%",1.185.010.424,450.293,238.838.377,"50,69%",,1185010424.0,450293.0,25076634.0,0.5067,1185010424.0,450293.0,238838377.0,0.5069
Công ty Ngọc Việt,Công ty Ngọc Việt,Công ty Ngọc Việt,(2),-,-,-,"0,00%",2.041.175.788,30.099.268,(ii),"99,96%",-2.0,,,,0.0,2041175788.0,30099268.0,,0.9995999999999999
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,(6),-,-,-,"18,82%",427.715.101,3.501.335,9.965.762,"18,82%",-6.0,,,,0.1882,427715101.0,3501335.0,9965762.0,0.1882
Công ty VinES,Công ty VinES,Công ty VinES,(3),-,-,-,"0,00%",331.500.000,3.315.000,(ii),"51,00%",-3.0,,,,0.0,331500000.0,3315000.0,,0.51
Công ty SDI,Công ty SDI,Công ty SDI,(6),-,-,-,"0,00%",137.216.530,1.372.165,(ii),"15,77%",-6.0,,,,0.0,137216530.0,1372165.0,,0.1577
Công ty Grand Prix,Công ty Grand Prix,Công ty Grand Prix,,-,-,-,"0,00%",(i),4.086.998,(ii),"100,00%",,,,,0.0,,4086998.0,,1.0
Các công ty con khác,Các công ty con khác,Các công ty con khác,"(2), (4), (5)",,5.558.704,,,,5.608.747,,,,,5558704.0,,,,5608747.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,184.716.166,,,,180.825.553,,,,,184716166.0,,,,180825553.0,,
Dự phòng đầu tư vào công ty con (v),Dự phòng đầu tư vào công ty con (v),Dự phòng đầu tư vào công ty con (v),,,(19.463.455),,,,(24.656.169),,,,,-19463455.0,,,,-24656169.0,,
