row_label_raw,row_label_full,col_0,Năm 2015,Năm 2014,numeric__Năm 2015,numeric__Năm 2014
,,,VND,VND,,
"Chi phí nhượng bán, thanh lý tài sản cố định và tài sản khác","Chi phí nhượng bán, thanh lý tài sản cố định và tài sản khác","Chi phí nhượng bán, thanh lý tài sản cố định và tài sản khác",-,57.310.971.235,,57310971235.0
"Nộp phạt vi phạm hành chính, truy thu thuế","Nộp phạt vi phạm hành chính, truy thu thuế","Nộp phạt vi phạm hành chính, truy thu thuế",240.426.898,461.343.207,240426898.0,461343207.0
Xử lý xóa các khoản nợ không có khả năng thu hồi,Xử lý xóa các khoản nợ không có khả năng thu hồi,Xử lý xóa các khoản nợ không có khả năng thu hồi,-,132.072.015,,132072015.0
Chi phí nộp NS của dự án giống (Nhà nước hỗ trợ 50%) - Cty CP,Chi phí nộp NS của dự án giống (Nhà nước hỗ trợ 50%) - Cty CP,Chi phí nộp NS của dự án giống (Nhà nước hỗ trợ 50%) - Cty CP,262.500.000,-,262500000.0,
Giống lâm nghiệp vùng Nam Bộ,Giống lâm nghiệp vùng Nam Bộ,Giống lâm nghiệp vùng Nam Bộ,,,,
Chi phí sản xuất kinh doanh dở dang không còn doanh thu,Giống lâm nghiệp vùng Nam Bộ > Chi phí sản xuất kinh doanh dở dang không còn doanh thu,Chi phí sản xuất kinh doanh dở dang không còn doanh thu,-,7.291.061.878,,7291061878.0
Chi phí khấu hao Nhà máy Ván đảm Thái Nguyên,Giống lâm nghiệp vùng Nam Bộ > Chi phí khấu hao Nhà máy Ván đảm Thái Nguyên,Chi phí khấu hao Nhà máy Ván đảm Thái Nguyên,-,1.729.419.498,,1729419498.0
Điều chính tăng số thuế phải nộp của CN Tổng Công ty tại Đà Nẵng,Giống lâm nghiệp vùng Nam Bộ > Điều chính tăng số thuế phải nộp của CN Tổng Công ty tại Đà Nẵng,Điều chính tăng số thuế phải nộp của CN Tổng Công ty tại Đà Nẵng,-,4.630.427.277,,4630427277.0
(dã giải thể năm 2007) theo Biên bản kiểm tra thuế,(dã giải thể năm 2007) theo Biên bản kiểm tra thuế,(dã giải thể năm 2007) theo Biên bản kiểm tra thuế,-,,,
Chi phí từ chuyển nhượng dự án nhà máy sản xuất chế biến lâm sản,(dã giải thể năm 2007) theo Biên bản kiểm tra thuế > Chi phí từ chuyển nhượng dự án nhà máy sản xuất chế biến lâm sản,Chi phí từ chuyển nhượng dự án nhà máy sản xuất chế biến lâm sản,-,335.098.000,,335098000.0
và đảm gỗ nguyên liệu giấy Vinafor Ba Tơ,và đảm gỗ nguyên liệu giấy Vinafor Ba Tơ,và đảm gỗ nguyên liệu giấy Vinafor Ba Tơ,-,,,
Tổn thất giá trị rừng ngân sách tại Công ty Lâm nghiệp Thái Nguyên,và đảm gỗ nguyên liệu giấy Vinafor Ba Tơ > Tổn thất giá trị rừng ngân sách tại Công ty Lâm nghiệp Thái Nguyên,Tổn thất giá trị rừng ngân sách tại Công ty Lâm nghiệp Thái Nguyên,-,6.284.830.887,,6284830887.0
Tiền vệ sinh rừng sau bão,và đảm gỗ nguyên liệu giấy Vinafor Ba Tơ > Tiền vệ sinh rừng sau bão,Tiền vệ sinh rừng sau bão,-,796.360.000,,796360000.0
Hỗ trợ xử lý thực bì,và đảm gỗ nguyên liệu giấy Vinafor Ba Tơ > Hỗ trợ xử lý thực bì,Hỗ trợ xử lý thực bì,-,435.000.000,,435000000.0
Xử lý tồn thất rừng trồng theo Công văn số 238/TTr-STC ngày,và đảm gỗ nguyên liệu giấy Vinafor Ba Tơ > Xử lý tồn thất rừng trồng theo Công văn số 238/TTr-STC ngày,Xử lý tồn thất rừng trồng theo Công văn số 238/TTr-STC ngày,20.545.385.748,-,20545385748.0,
30/10/2015 của Sở Tài chính tỉnh Lạng Sơn,30/10/2015 của Sở Tài chính tỉnh Lạng Sơn,30/10/2015 của Sở Tài chính tỉnh Lạng Sơn,,,,
Chi phí khác,30/10/2015 của Sở Tài chính tỉnh Lạng Sơn > Chi phí khác,Chi phí khác,5.761.992.643,11.927.034.588,5761992643.0,11927034588.0
,,,26.810.305.289,91.333.618.585,26810305289.0,91333618585.0
