row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty con,Góp vốn,8.550.877.955,-,,,8550877955.0,
Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty con,"Lãi tiền cho vay, tiền gửi",146.088.392,-,,,146088392.0,
Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty con,Hỗ trợ và thường cho đơn vị,95.500.000,45.000.000,,,95500000.0,45000000.0
Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty con,Góp vốn,23.623.494.210,-,,,23623494210.0,
Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty con,Cho vay,5.000.000.000,-,,,5000000000.0,
Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty con,Hỗ trợ và thường cho đơn vị,157.000.000,187.000.000,,,157000000.0,187000000.0
Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty con,"Lãi tiền cho vay, tiền gửi",28.273.973,-,,,28273973.0,
Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty con,Cho vay,3.100.000.000,1.000.000.000,,,3100000000.0,1000000000.0
Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty con,Hỗ trợ cho đơn vị,504.500.000,493.500.000,,,504500000.0,493500000.0
Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,208.690.000,243.921.000,,,208690000.0,243921000.0
Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty con,Chuyển tiền thiết kế khai thác gỗ rừng,60.825.999,-,,,60825999.0,
Công ty Cổ phần Cẩm Hà,Công ty Cổ phần Cẩm Hà,Công ty Cổ phần Cẩm Hà,Công ty con,Hỗ trợ và thường cho đơn vị,740.000.000,673.000.000,,,740000000.0,673000000.0
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty con,Chuyển tiền cho vay,1.060.000.000,-,,,1060000000.0,
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty con,Thu tiền cho vay,700.000.000,-,,,700000000.0,
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,180.405.000,136.661.000,,,180405000.0,136661000.0
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty con,Hỗ trợ và thường cho đơn vị,65.000.000,16.000.000,,,65000000.0,16000000.0
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty con,"Lãi tiền cho vay, tiền gửi",19.967.232,-,,,19967232.0,
Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,Công ty con,Hỗ trợ và thường cho đơn vị,142.000.000,70.000.000,,,142000000.0,70000000.0
Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,Công ty con,Mua bán hàng hóa dịch vụ,-,85.000.000,,,,85000000.0
Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,Công ty con,Hỗ trợ cho đơn vị,20.000.000,7.000.000,,,20000000.0,7000000.0
Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,Công ty con,Mua bán hàng hóa dịch vụ,-,1.926.876.000,,,,1926876000.0
Công ty Cổ phần Long Bình,Công ty Cổ phần Long Bình,Công ty Cổ phần Long Bình,Công ty con,Hỗ trợ và thường cho đơn vị,8.000.000,8.000.000,,,8000000.0,8000000.0
