row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,28.926.664.278,1.606.883.818,22.899.451.182,53.432.999.278,28926664278.0,1606883818.0,22899451182.0,53432999278.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,28.926.664.278,1.606.883.818,22.899.451.182,53.432.999.278,28926664278.0,1606883818.0,22899451182.0,53432999278.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,502.351.822,1.462.900.000,20.119.251.983,22.084.503.805,502351822.0,1462900000.0,20119251983.0,22084503805.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,5.878.667.852,1.357.388.196,21.870.210.331,29.106.266.379,5878667852.0,1357388196.0,21870210331.0,29106266379.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,558.909.864,137.262.775,101.285.424,797.458.063,558909864.0,137262775.0,101285424.0,797458063.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,6.437.577.716,1.494.650.971,21.971.495.755,29.903.724.442,6437577716.0,1494650971.0,21971495755.0,29903724442.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,23.047.996.426,249.495.622,1.029.240.851,24.326.732.899,23047996426.0,249495622.0,1029240851.0,24326732899.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,22.489.086.562,112.232.847,927.955.427,23.529.274.836,22489086562.0,112232847.0,927955427.0,23529274836.0
