row_label_raw,row_label_full,col_0,Vốn góp,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Đơn vị tính: VND,numeric__Vốn góp,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Đơn vị tính: VND
,,,Vốn góp,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,,,,
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,3.500.000.000.000,222.504.337.142,312.315.117.541,4.034.819.454.683,3500000000000.0,222504337142.0,312315117541.0,4034819454683.0
Lợi nhuận trong năm,Năm trước > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,219.211.504.515,219.211.504.515,,,219211504515.0,219211504515.0
"Trích lập quỹ khen thưởng,phúc lợi","Năm trước > Trích lập quỹ khen thưởng,phúc lợi","Trích lập quỹ khen thưởng,phúc lợi",-,-,(24.519.873.090),(24.519.873.090),,,-24519873090.0,-24519873090.0
Chia cổ tức,Năm trước > Chia cổ tức,Chia cổ tức,-,-,(311.150.000.000),(311.150.000.000),,,-311150000000.0,-311150000000.0
Giảm khác,Năm trước > Giảm khác,Giảm khác,,,(312.896.887),(312.896.887),,,-312896887.0,-312896887.0
Số dư cuối năm(Trình bày lại),Năm trước > Số dư cuối năm(Trình bày lại),Số dư cuối năm(Trình bày lại),3.500.000.000.000,222.504.337.142,195.543.852.079,3.918.048.189.221,3500000000000.0,222504337142.0,195543852079.0,3918048189221.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số dư đầu năm(Trình bày lại),Năm nay > Số dư đầu năm(Trình bày lại),Số dư đầu năm(Trình bày lại),3.500.000.000.000,222.504.337.142,195.543.852.079,3.918.048.189.221,3500000000000.0,222504337142.0,195543852079.0,3918048189221.0
Lợi nhuận trong năm,Năm nay > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,330.825.911.235,330.825.911.235,,,330825911235.0,330825911235.0
Chia cổ tức (*),Năm nay > Chia cổ tức (*),Chia cổ tức (*),-,-,(227.150.000.000),(227.150.000.000),,,-227150000000.0,-227150000000.0
Giảm trích lập quỹ đầu tưphát triển (*),Năm nay > Giảm trích lập quỹ đầu tưphát triển (*),Giảm trích lập quỹ đầu tưphát triển (*),-,(32.407.444.487),32.407.444.487,-,,-32407444487.0,32407444487.0,
Trích quỹ khen thưởngphúc lợi (**),Năm nay > Trích quỹ khen thưởngphúc lợi (**),Trích quỹ khen thưởngphúc lợi (**),-,-,(31.327.877.193),(31.327.877.193),,,-31327877193.0,-31327877193.0
Tăng khác,Năm nay > Tăng khác,Tăng khác,-,-,312.896.887,312.896.887,,,312896887.0,312896887.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,3.500.000.000.000,190.096.892.655,300.612.227.495,3.990.709.120.150,3500000000000.0,190096892655.0,300612227495.0,3990709120150.0
